Date,TFF1LAIN INDEX
6/15/2010,263511
6/22/2010,276099
6/29/2010,258436
7/6/2010,256737
7/13/2010,280271
7/20/2010,275912
7/27/2010,275566
8/3/2010,271208
8/10/2010,276863
8/17/2010,256503
8/24/2010,244947
8/31/2010,242967
9/7/2010,242162
9/14/2010,259905
9/21/2010,269242
9/28/2010,272819
10/5/2010,268456
10/12/2010,279399
10/19/2010,287117
10/26/2010,292626
11/2/2010,284004
11/9/2010,295694
11/16/2010,281837
11/23/2010,283638
11/30/2010,282112
12/7/2010,292765
12/14/2010,303357
12/21/2010,293860
12/28/2010,302584
1/4/2011,290881
1/11/2011,283818
1/18/2011,293087
1/25/2011,298924
2/1/2011,293112
2/8/2011,305179
2/15/2011,307770
2/22/2011,307697
3/1/2011,290713
3/8/2011,290333
3/15/2011,290720
3/22/2011,290990
3/29/2011,291562
4/5/2011,278618
4/12/2011,283179
4/19/2011,288301
4/26/2011,293385
5/3/2011,289220
5/10/2011,289909
5/17/2011,285984
5/24/2011,288189
5/31/2011,288937
6/7/2011,277809
6/14/2011,281982
6/21/2011,274209
6/28/2011,275426
7/5/2011,274308
7/12/2011,253353
7/19/2011,253897
7/26/2011,258207
8/2/2011,209587
8/9/2011,193057
8/16/2011,198762
8/23/2011,187681
8/30/2011,198971
9/6/2011,178162
9/13/2011,167578
9/20/2011,181753
9/27/2011,139435
10/4/2011,103750
10/11/2011,137021
10/18/2011,148729
10/25/2011,137992
11/1/2011,137309
11/8/2011,153638
11/15/2011,142733
11/22/2011,129732
11/29/2011,144879
12/6/2011,148674
12/13/2011,134705
12/20/2011,133179
12/27/2011,148068
1/3/2012,144716
1/10/2012,147039
1/17/2012,160317
1/24/2012,176437
1/31/2012,177254
2/7/2012,196292
2/14/2012,208214
2/21/2012,215967
2/28/2012,218139
3/6/2012,205784
3/13/2012,220215
3/20/2012,225400
3/27/2012,234669
4/3/2012,220879
4/10/2012,202600
4/17/2012,203372
4/24/2012,194741
5/1/2012,198734
5/8/2012,191119
5/15/2012,174945
5/22/2012,177119
5/29/2012,178180
6/5/2012,160038
6/12/2012,191764
6/19/2012,186825
6/26/2012,168659
7/3/2012,181307
7/10/2012,173981
7/17/2012,175151
7/24/2012,165195
7/31/2012,186666
8/7/2012,193352
8/14/2012,205142
8/21/2012,207480
8/28/2012,205217
9/4/2012,194820
9/11/2012,199280
9/18/2012,222485
9/25/2012,225151
10/2/2012,227306
10/9/2012,228996
10/16/2012,233650
10/23/2012,234513
10/30/2012,237057
11/6/2012,224269
11/13/2012,188549
11/20/2012,192506
11/27/2012,199882
12/4/2012,194008
12/11/2012,189519
12/18/2012,203990
12/25/2012,222691
1/1/2013,215629
1/8/2013,225164
1/15/2013,224238
1/22/2013,233370
1/29/2013,245427
2/5/2013,225817
2/12/2013,219217
2/19/2013,211508
2/26/2013,201661
3/5/2013,179271
3/12/2013,191530
3/19/2013,204873
3/26/2013,213889
4/2/2013,217546
4/9/2013,210428
4/16/2013,219008
4/23/2013,206843
4/30/2013,209275
5/7/2013,210979
5/14/2013,221576
5/21/2013,236828
5/28/2013,239949
6/4/2013,226266
6/11/2013,213411
6/18/2013,224242
6/25/2013,179353
7/2/2013,179796
7/9/2013,192781
7/16/2013,200328
7/23/2013,214640
7/30/2013,216688
8/6/2013,214907
8/13/2013,207342
8/20/2013,192135
8/27/2013,184608
9/3/2013,183652
9/10/2013,194487
9/17/2013,198476
9/24/2013,196353
10/1/2013,188283
10/8/2013,177905
10/15/2013,178017
10/22/2013,190863
10/29/2013,203861
11/5/2013,195339
11/12/2013,194374
11/19/2013,194071
11/26/2013,192466
12/3/2013,185835
12/10/2013,190567
12/17/2013,186616
12/24/2013,213938
12/31/2013,217049
1/7/2014,217813
1/14/2014,223452
1/21/2014,222488
1/28/2014,202396
2/4/2014,182971
2/11/2014,209309
2/18/2014,211249
2/25/2014,194787
3/4/2014,200050
3/11/2014,208463
3/18/2014,211879
3/25/2014,226844
4/1/2014,220409
4/8/2014,210604
4/15/2014,199925
4/22/2014,202917
4/29/2014,200050
5/6/2014,200843
5/13/2014,209344
5/20/2014,204771
5/27/2014,210262
6/3/2014,219012
6/10/2014,221245
6/17/2014,219688
6/24/2014,226373
7/1/2014,217967
7/8/2014,221453
7/15/2014,221280
7/22/2014,219788
7/29/2014,221236
8/5/2014,202879
8/12/2014,204102
8/19/2014,212711
8/26/2014,213599
9/2/2014,209113
9/9/2014,205855
9/16/2014,215969
9/23/2014,212578
9/30/2014,203515
10/7/2014,187978
10/14/2014,175429
10/21/2014,184279
10/28/2014,188632
11/4/2014,180094
11/11/2014,187740
11/18/2014,202033
11/25/2014,205886
12/2/2014,200805
12/9/2014,200684
12/16/2014,180242
12/23/2014,213970
12/30/2014,218953
1/6/2015,201667
1/13/2015,205085
1/20/2015,196042
1/27/2015,202314
2/3/2015,188255
2/10/2015,187039
2/17/2015,188817
2/24/2015,192497
3/3/2015,182739
3/10/2015,169445
3/17/2015,175670
3/24/2015,187530
3/31/2015,174056
4/7/2015,177092
4/14/2015,179926
4/21/2015,173257
4/28/2015,177815
5/5/2015,177007
5/12/2015,177887
