Date,TFF1LATS INDEX
6/15/2010,5
6/22/2010,6
6/29/2010,6
7/6/2010,7
7/13/2010,7
7/20/2010,6
7/27/2010,6
8/3/2010,6
8/10/2010,6
8/17/2010,7
8/24/2010,6
8/31/2010,6
9/7/2010,6
9/14/2010,5
9/21/2010,5
9/28/2010,5
10/5/2010,5
10/12/2010,5
10/19/2010,5
10/26/2010,5
11/2/2010,5
11/9/2010,5
11/16/2010,5
11/23/2010,5
11/30/2010,5
12/7/2010,5
12/14/2010,5
12/21/2010,6
12/28/2010,6
1/4/2011,55
1/11/2011,60
1/18/2011,58
1/25/2011,60
2/1/2011,58
2/8/2011,57
2/15/2011,53
2/22/2011,58
3/1/2011,65
3/8/2011,61
3/15/2011,60
3/22/2011,63
3/29/2011,60
4/5/2011,58
4/12/2011,60
4/19/2011,60
4/26/2011,60
5/3/2011,53
5/10/2011,51
5/17/2011,54
5/24/2011,52
5/31/2011,56
6/7/2011,57
6/14/2011,58
6/21/2011,58
6/28/2011,54
7/5/2011,50
7/12/2011,61
7/19/2011,59
7/26/2011,58
8/2/2011,63
8/9/2011,73
8/16/2011,69
8/23/2011,69
8/30/2011,70
9/6/2011,70
9/13/2011,74
9/20/2011,73
9/27/2011,74
10/4/2011,82
10/11/2011,73
10/18/2011,78
10/25/2011,75
11/1/2011,71
11/8/2011,71
11/15/2011,72
11/22/2011,76
11/29/2011,77
12/6/2011,70
12/13/2011,74
12/20/2011,67
12/27/2011,66
1/3/2012,63
1/10/2012,63
1/17/2012,64
1/24/2012,62
1/31/2012,61
2/7/2012,63
2/14/2012,60
2/21/2012,57
2/28/2012,59
3/6/2012,62
3/13/2012,59
3/20/2012,61
3/27/2012,57
4/3/2012,57
4/10/2012,63
4/17/2012,65
4/24/2012,63
5/1/2012,62
5/8/2012,64
5/15/2012,71
5/22/2012,63
5/29/2012,63
6/5/2012,66
6/12/2012,63
6/19/2012,58
6/26/2012,61
7/3/2012,54
7/10/2012,59
7/17/2012,58
7/24/2012,56
7/31/2012,52
8/7/2012,56
8/14/2012,54
8/21/2012,55
8/28/2012,55
9/4/2012,59
9/11/2012,56
9/18/2012,52
9/25/2012,50
10/2/2012,52
10/9/2012,55
10/16/2012,53
10/23/2012,56
10/30/2012,58
11/6/2012,54
11/13/2012,58
11/20/2012,55
11/27/2012,53
12/4/2012,51
12/11/2012,52
12/18/2012,47
12/25/2012,46
1/1/2013,49
1/8/2013,45
1/15/2013,44
1/22/2013,43
1/29/2013,46
2/5/2013,46
2/12/2013,48
2/19/2013,48
2/26/2013,49
3/5/2013,50
3/12/2013,50
3/19/2013,51
3/26/2013,49
4/2/2013,48
4/9/2013,53
4/16/2013,47
4/23/2013,53
4/30/2013,52
5/7/2013,54
5/14/2013,53
5/21/2013,57
5/28/2013,56
6/4/2013,58
6/11/2013,61
6/18/2013,60
6/25/2013,66
7/2/2013,63
7/9/2013,60
7/16/2013,55
7/23/2013,57
7/30/2013,58
8/6/2013,58
8/13/2013,58
8/20/2013,55
8/27/2013,57
9/3/2013,57
9/10/2013,54
9/17/2013,57
9/24/2013,57
10/1/2013,53
10/8/2013,58
10/15/2013,61
10/22/2013,59
10/29/2013,58
11/5/2013,60
11/12/2013,58
11/19/2013,62
11/26/2013,62
12/3/2013,63
12/10/2013,59
12/17/2013,58
12/24/2013,58
12/31/2013,53
1/7/2014,53
1/14/2014,54
1/21/2014,53
1/28/2014,57
2/4/2014,56
2/11/2014,58
2/18/2014,54
2/25/2014,54
3/4/2014,55
3/11/2014,60
3/18/2014,58
3/25/2014,54
4/1/2014,52
4/8/2014,50
4/15/2014,54
4/22/2014,53
4/29/2014,51
5/6/2014,53
5/13/2014,51
5/20/2014,51
5/27/2014,52
6/3/2014,49
6/10/2014,50
6/17/2014,54
6/24/2014,50
7/1/2014,52
7/8/2014,50
7/15/2014,52
7/22/2014,53
7/29/2014,52
8/5/2014,60
8/12/2014,61
8/19/2014,57
8/26/2014,56
9/2/2014,58
9/9/2014,59
9/16/2014,57
9/23/2014,61
9/30/2014,59
10/7/2014,60
10/14/2014,65
10/21/2014,62
10/28/2014,60
11/4/2014,59
11/11/2014,59
11/18/2014,57
11/25/2014,58
12/2/2014,59
12/9/2014,63
12/16/2014,68
12/23/2014,63
12/30/2014,60
1/6/2015,60
1/13/2015,59
1/20/2015,63
1/27/2015,60
2/3/2015,64
2/10/2015,65
2/17/2015,62
