Timestamp,Libor 1Y,JPY,EUR,SPX,VIX,1Y OIS,Positioning,lev Positioning,Signal
9/10/2020,0.243,0.94165,0.84195,3405.97,28.45,0.055,#N/A,#N/A,#N/A
9/9/2020,0.243,0.94175,0.84725,3398.96,28.81,0.055,#N/A,#N/A,#N/A
9/8/2020,0.24,0.9431,0.84915,3331.84,31.46,0.05,#N/A,#N/A,#N/A
9/7/2020,0.237,0.94105,0.84615,#N/A,#N/A,#N/A,#N/A,#N/A,529103604.1
9/4/2020,0.24,0.94125,0.84465,3426.96,30.75,0.052,#N/A,#N/A,1030498498
9/3/2020,0.235,0.9417,0.84385,3455.06,33.6,0.046,#N/A,#N/A,-521881166.3
9/2/2020,0.239,0.94175,0.84355,3580.84,26.57,0.05,#N/A,#N/A,-818177683
9/1/2020,0.238,0.94375,0.83945,3526.65,26.12,0.05,137263,-60477,7502294805
8/31/2020,0.232,0.94425,0.83775,3500.31,26.41,0.047,#N/A,#N/A,119406792.8
8/28/2020,0.237,0.94915,0.83995,3508.01,22.96,0.05,#N/A,#N/A,117388941.5
8/27/2020,0.254,0.9384,0.8459,3484.55,24.47,0.06,#N/A,#N/A,-155626232.9
8/26/2020,0.243,0.9435,0.8453,3478.73,23.27,0.057,#N/A,#N/A,1727142678
8/25/2020,0.238,0.9399,0.845,3443.62,22.03,0.056,142723,-66074,-143829905.9
8/24/2020,0.228,0.94355,0.8483,3431.28,22.37,0.051,#N/A,#N/A,1539869664
8/21/2020,0.232,0.94525,0.84765,3397.16,22.54,0.049,#N/A,#N/A,1364564272
8/20/2020,0.235,0.94515,0.8431,3385.51,22.72,0.051,#N/A,#N/A,1971691991
8/19/2020,0.231,0.94235,0.8448,3374.85,22.54,0.052,#N/A,#N/A,-3133986698
8/18/2020,0.233,0.9487,0.83815,3389.78,21.51,0.053,135808,-62915,607523279.5
8/17/2020,0.241,0.94335,0.84245,3381.99,21.35,0.054,#N/A,#N/A,2205259220
8/14/2020,0.247,0.93805,0.8444,3372.85,22.05,0.053,#N/A,#N/A,952799914.6
8/13/2020,0.255,0.9352,0.84645,3373.43,22.13,0.055,#N/A,#N/A,1003818432
8/12/2020,0.248,0.93535,0.84865,3380.35,22.28,0.054,#N/A,#N/A,-1464896474
8/11/2020,0.248,0.93905,0.8518,3333.69,24.03,0.05,134130,-66880,-3222568817
8/10/2020,0.239,0.94375,0.85195,3360.47,22.13,0.049,#N/A,#N/A,417504601.6
8/7/2020,0.232,0.94405,0.84835,3351.28,22.21,0.047,#N/A,#N/A,1969500874
8/6/2020,0.217,0.9474,0.842,3349.16,22.65,0.043,#N/A,#N/A,1324583235
