DATE,TradeWeighted USDINdex_AdvancedEconomies
9/11/2015,108.4431
9/14/2015,108.3956
9/15/2015,108.7243
9/16/2015,108.206
9/17/2015,108.2491
9/18/2015,107.7203
9/21/2015,108.7596
9/22/2015,109.202
9/23/2015,109.3561
9/24/2015,108.9889
9/25/2015,109.3695
9/28/2015,109.157
9/29/2015,109.244
9/30/2015,109.59
10/1/2015,108.9863
10/2/2015,108.5515
10/5/2015,108.6838
10/6/2015,108.2263
10/7/2015,108.1315
10/8/2015,107.9357
10/9/2015,107.4282
10/12/2015,.
10/13/2015,107.4529
10/14/2015,106.9973
10/15/2015,106.7061
10/16/2015,107.221
10/19/2015,107.5192
10/20/2015,107.3376
10/21/2015,107.7811
10/22/2015,108.6755
10/23/2015,109.5129
10/26/2015,109.2389
10/27/2015,109.4923
10/28/2015,109.2776
10/29/2015,109.8875
10/30/2015,109.1459
11/2/2015,109.2413
11/3/2015,109.684
11/4/2015,110.2343
11/5/2015,110.354
11/6/2015,111.6053
11/9/2015,111.3512
11/10/2015,111.7108
11/11/2015,.
11/12/2015,111.3002
11/13/2015,111.5946
11/16/2015,111.7312
11/17/2015,112.0377
11/18/2015,112.1246
11/19/2015,111.1942
11/20/2015,111.8359
11/23/2015,112.2455
11/24/2015,111.8607
11/25/2015,111.9992
11/26/2015,.
11/27/2015,112.374
11/30/2015,112.4511
12/1/2015,112.2115
12/2/2015,112.5585
12/3/2015,110.9763
12/4/2015,110.9475
12/7/2015,111.5716
12/8/2015,111.6372
12/9/2015,110.8978
12/10/2015,110.9623
12/11/2015,110.897
12/14/2015,110.8929
12/15/2015,111.6244
12/16/2015,111.7019
12/17/2015,112.9587
12/18/2015,112.2767
12/21/2015,112.2223
12/22/2015,111.864
12/23/2015,112.1137
12/24/2015,111.5614
12/25/2015,.
12/28/2015,111.6079
12/29/2015,111.8677
12/30/2015,111.9448
12/31/2015,112.1543
1/1/2016,.
1/4/2016,112.6815
1/5/2016,112.9969
1/6/2016,113.1417
1/7/2016,112.6368
1/8/2016,112.7498
1/11/2016,112.8366
1/12/2016,113.4069
1/13/2016,113.2919
1/14/2016,113.5331
1/15/2016,113.4204
1/18/2016,.
1/19/2016,113.8255
1/20/2016,113.8695
1/21/2016,113.5059
1/22/2016,.
1/25/2016,.
1/26/2016,.
1/27/2016,113.0167
1/28/2016,112.6175
1/29/2016,113.6106
2/1/2016,113.0476
2/2/2016,112.9242
2/3/2016,111.3618
2/4/2016,110.2448
2/5/2016,111.0458
2/8/2016,110.8376
2/9/2016,109.96
2/10/2016,110.4287
2/11/2016,109.483
2/12/2016,109.937
2/15/2016,.
2/16/2016,110.6873
2/17/2016,110.2981
2/18/2016,110.4935
2/19/2016,110.3547
2/22/2016,110.7759
2/23/2016,110.9738
2/24/2016,110.8618
2/25/2016,110.5858
2/26/2016,111.1764
2/29/2016,111.1934
3/1/2016,111.1383
3/2/2016,111.1264
3/3/2016,110.3778
3/4/2016,109.9337
3/7/2016,109.8121
3/8/2016,109.8076
3/9/2016,109.4945
3/10/2016,109.2025
3/11/2016,108.6516
3/14/2016,109.2372
3/15/2016,109.4192
3/16/2016,109.7713
3/17/2016,107.1417
3/18/2016,107.2276
3/21/2016,107.6767
3/22/2016,107.9385
3/23/2016,108.7356
3/24/2016,108.9478
3/25/2016,109.001
3/28/2016,108.5308
3/29/2016,108.4564
3/30/2016,107.2481
3/31/2016,106.9887
4/1/2016,107.2941
4/4/2016,107.1233
4/5/2016,107.4998
4/6/2016,106.9109
4/7/2016,107.1817
4/8/2016,106.7213
4/11/2016,106.3249
4/12/2016,106.1727
4/13/2016,106.7379
4/14/2016,106.9594
4/15/2016,106.7728
4/18/2016,106.5089
4/19/2016,105.8325
4/20/2016,106.022
4/21/2016,106.4127
4/22/2016,106.8166
4/25/2016,106.5479
4/26/2016,106.1309
4/27/2016,106.2761
4/28/2016,105.6466
4/29/2016,104.9467
5/2/2016,104.5421
5/3/2016,105.0385
5/4/2016,105.767
5/5/2016,106.0791
5/6/2016,106.1729
5/9/2016,106.6837
5/10/2016,106.7424
5/11/2016,106.0819
5/12/2016,106.4612
5/13/2016,107.1473
5/16/2016,106.8291
5/17/2016,106.7187
5/18/2016,107.0831
5/19/2016,107.8572
5/20/2016,108.1166
5/23/2016,108.1437
5/24/2016,108.1642
5/25/2016,108.0213
5/26/2016,107.5847
5/27/2016,107.861
5/30/2016,.
5/31/2016,108.3072
6/1/2016,108.1013
6/2/2016,108.0017
6/3/2016,106.5888
6/6/2016,106.3563
6/7/2016,106.0492
6/8/2016,105.5288
6/9/2016,105.9605
6/10/2016,106.3433
6/13/2016,106.4531
6/14/2016,106.9066
6/15/2016,106.8927
6/16/2016,107.3903
6/17/2016,106.4262
6/20/2016,105.6972
6/21/2016,105.9603
6/22/2016,105.8524
6/23/2016,105.3935
6/24/2016,107.3837
6/27/2016,108.4561
6/28/2016,108.4589
6/29/2016,107.7448
6/30/2016,108.369
7/1/2016,107.5478
7/4/2016,.
7/5/2016,108.0582
7/6/2016,108.2015
7/7/2016,108.161
7/8/2016,108.4536
7/11/2016,108.794
7/12/2016,108.4636
7/13/2016,108.1364
7/14/2016,108.0648
7/15/2016,108.5978
7/18/2016,108.5105
7/19/2016,109.0716
7/20/2016,109.1576
7/21/2016,109.0358
7/22/2016,109.6903
7/25/2016,109.674
7/26/2016,109.4592
7/27/2016,109.6599
7/28/2016,108.8725
7/29/2016,107.7193
8/1/2016,107.8701
8/2/2016,107.3188
8/3/2016,107.6182
8/4/2016,107.7567
8/5/2016,108.5246
8/8/2016,108.6396
8/9/2016,108.3379
8/10/2016,107.8275
8/11/2016,107.7484
8/12/2016,107.5787
8/15/2016,107.4666
8/16/2016,106.7392
8/17/2016,106.8931
8/18/2016,106.1652
8/19/2016,106.5688
8/22/2016,106.7131
8/23/2016,106.5953
8/24/2016,106.9024
8/25/2016,106.8934
8/26/2016,107.1704
8/29/2016,107.8025
8/30/2016,108.2274
8/31/2016,108.3827
9/1/2016,107.9841
9/2/2016,107.9806
9/5/2016,.
9/6/2016,106.8368
9/7/2016,106.9406
9/8/2016,107.0393
9/9/2016,107.6823
9/12/2016,107.5351
9/13/2016,107.8674
9/14/2016,107.7844
9/15/2016,107.7512
9/16/2016,108.4234
9/19/2016,108.2063
9/20/2016,108.3881
9/21/2016,108.1371
9/22/2016,107.4008
9/23/2016,107.8953
9/26/2016,107.6486
9/27/2016,108.0079
9/28/2016,108.0528
9/29/2016,107.6581
9/30/2016,107.6829
10/3/2016,108.0723
10/4/2016,108.4203
10/5/2016,108.6239
10/6/2016,109.0361
10/7/2016,109.4063
10/10/2016,.
10/11/2016,109.8672
10/12/2016,110.3423
10/13/2016,109.9633
10/14/2016,110.1299
10/17/2016,109.953
10/18/2016,109.7306
10/19/2016,109.8035
10/20/2016,110.2998
10/21/2016,110.9622
10/24/2016,111.0388
10/25/2016,110.9452
10/26/2016,110.8507
10/27/2016,111.1675
10/28/2016,111.1034
10/31/2016,110.8972
11/1/2016,110.3653
11/2/2016,109.743
11/3/2016,109.7153
11/4/2016,109.5406
11/7/2016,110.1828
