Date,TFF1LLTS INDEX
6/15/2010,7
6/22/2010,7
6/29/2010,6
7/6/2010,6
7/13/2010,6
7/20/2010,6
7/27/2010,6
8/3/2010,6
8/10/2010,6
8/17/2010,6
8/24/2010,7
8/31/2010,7
9/7/2010,7
9/14/2010,7
9/21/2010,7
9/28/2010,7
10/5/2010,7
10/12/2010,7
10/19/2010,7
10/26/2010,8
11/2/2010,8
11/9/2010,6
11/16/2010,5
11/23/2010,7
11/30/2010,7
12/7/2010,7
12/14/2010,9
12/21/2010,10
12/28/2010,12
1/4/2011,130
1/11/2011,127
1/18/2011,124
1/25/2011,129
2/1/2011,124
2/8/2011,134
2/15/2011,133
2/22/2011,135
3/1/2011,140
3/8/2011,137
3/15/2011,144
3/22/2011,139
3/29/2011,146
4/5/2011,137
4/12/2011,143
4/19/2011,133
4/26/2011,123
5/3/2011,124
5/10/2011,122
5/17/2011,127
5/24/2011,130
5/31/2011,139
6/7/2011,137
6/14/2011,138
6/21/2011,134
6/28/2011,133
7/5/2011,132
7/12/2011,143
7/19/2011,122
7/26/2011,121
8/2/2011,122
8/9/2011,141
8/16/2011,163
8/23/2011,163
8/30/2011,162
9/6/2011,164
9/13/2011,163
9/20/2011,159
9/27/2011,150
10/4/2011,153
10/11/2011,149
10/18/2011,145
10/25/2011,143
11/1/2011,136
11/8/2011,143
11/15/2011,134
11/22/2011,137
11/29/2011,135
12/6/2011,127
12/13/2011,122
12/20/2011,107
12/27/2011,106
1/3/2012,99
1/10/2012,109
1/17/2012,108
1/24/2012,113
1/31/2012,109
2/7/2012,107
2/14/2012,121
2/21/2012,119
2/28/2012,122
3/6/2012,124
3/13/2012,120
3/20/2012,119
3/27/2012,122
4/3/2012,117
4/10/2012,126
4/17/2012,121
4/24/2012,114
5/1/2012,114
5/8/2012,126
5/15/2012,126
5/22/2012,132
5/29/2012,128
6/5/2012,127
6/12/2012,134
6/19/2012,120
6/26/2012,121
7/3/2012,116
7/10/2012,127
7/17/2012,128
7/24/2012,128
7/31/2012,114
8/7/2012,117
8/14/2012,123
8/21/2012,121
8/28/2012,118
9/4/2012,122
9/11/2012,120
9/18/2012,116
9/25/2012,110
10/2/2012,111
10/9/2012,114
10/16/2012,101
10/23/2012,108
10/30/2012,106
11/6/2012,97
11/13/2012,99
11/20/2012,104
11/27/2012,109
12/4/2012,101
12/11/2012,99
12/18/2012,95
12/25/2012,101
1/1/2013,95
1/8/2013,107
1/15/2013,114
1/22/2013,111
1/29/2013,115
2/5/2013,114
2/12/2013,113
2/19/2013,109
2/26/2013,117
3/5/2013,111
3/12/2013,110
3/19/2013,107
3/26/2013,111
4/2/2013,117
4/9/2013,112
4/16/2013,104
4/23/2013,112
4/30/2013,108
5/7/2013,113
5/14/2013,119
5/21/2013,110
5/28/2013,118
6/4/2013,110
6/11/2013,122
6/18/2013,123
6/25/2013,116
7/2/2013,109
7/9/2013,115
7/16/2013,107
7/23/2013,107
7/30/2013,105
8/6/2013,107
8/13/2013,109
8/20/2013,112
8/27/2013,118
9/3/2013,112
9/10/2013,118
9/17/2013,107
9/24/2013,103
10/1/2013,96
10/8/2013,95
10/15/2013,94
10/22/2013,101
10/29/2013,105
11/5/2013,93
11/12/2013,97
11/19/2013,109
11/26/2013,104
12/3/2013,105
12/10/2013,103
12/17/2013,97
12/24/2013,94
12/31/2013,90
1/7/2014,92
1/14/2014,100
1/21/2014,105
1/28/2014,107
2/4/2014,116
2/11/2014,123
2/18/2014,127
2/25/2014,126
3/4/2014,127
3/11/2014,140
3/18/2014,121
3/25/2014,127
4/1/2014,116
4/8/2014,118
4/15/2014,125
4/22/2014,114
4/29/2014,118
5/6/2014,128
5/13/2014,128
5/20/2014,128
5/27/2014,128
6/3/2014,133
6/10/2014,134
6/17/2014,131
6/24/2014,135
7/1/2014,120
7/8/2014,125
7/15/2014,124
7/22/2014,121
7/29/2014,129
8/5/2014,128
8/12/2014,125
8/19/2014,130
8/26/2014,132
9/2/2014,128
9/9/2014,135
9/16/2014,122
9/23/2014,119
9/30/2014,129
10/7/2014,126
10/14/2014,121
10/21/2014,125
10/28/2014,128
11/4/2014,120
11/11/2014,122
11/18/2014,125
11/25/2014,130
12/2/2014,129
12/9/2014,119
12/16/2014,107
12/23/2014,112
12/30/2014,111
1/6/2015,107
1/13/2015,109
1/20/2015,101
1/27/2015,102
2/3/2015,107
2/10/2015,117
2/17/2015,119
2/24/2015,120
3/3/2015,117
3/10/2015,122
3/17/2015,113
3/24/2015,111
3/31/2015,114
4/7/2015,122
4/14/2015,118
4/21/2015,116
4/28/2015,114
5/5/2015,123
5/12/2015,131
5/19/2015,126
5/26/2015,136
6/2/2015,132
6/9/2015,127
6/16/2015,120
6/23/2015,134
6/30/2015,128
7/7/2015,130
7/14/2015,120
7/21/2015,121
7/28/2015,121
8/4/2015,124
8/11/2015,125
8/18/2015,135
8/25/2015,129
9/1/2015,132
9/8/2015,131
9/15/2015,136
9/22/2015,123
9/29/2015,129
10/6/2015,137
10/13/2015,140
10/20/2015,133
10/27/2015,122
11/3/2015,133
11/10/2015,135
11/17/2015,130
11/24/2015,127
12/1/2015,118
12/8/2015,109
12/15/2015,105
12/22/2015,109
12/29/2015,112
1/5/2016,113
1/12/2016,108
1/19/2016,123
1/26/2016,114
2/2/2016,135
2/9/2016,132
2/16/2016,128
2/23/2016,133
3/1/2016,122
3/8/2016,131
3/15/2016,131
3/22/2016,124
3/29/2016,128
4/5/2016,133
4/12/2016,130
4/19/2016,127
4/26/2016,128
5/3/2016,137
5/10/2016,136
5/17/2016,137
5/24/2016,139
5/31/2016,136
6/7/2016,138
6/14/2016,129
6/21/2016,132
6/28/2016,137
7/5/2016,138
7/12/2016,132
7/19/2016,141
7/26/2016,135
8/2/2016,144
8/9/2016,138
