,USSO1 CURNCY
1/1/2008,3.6325
1/2/2008,3.516
1/3/2008,3.467
1/4/2008,3.369
1/7/2008,3.34
1/8/2008,3.306
1/9/2008,3.307
1/10/2008,3.214
1/11/2008,3.049
1/14/2008,3.01
1/15/2008,2.997
1/16/2008,3.0755
1/17/2008,2.936
1/18/2008,2.845
1/21/2008,2.7265
1/22/2008,2.385
1/23/2008,2.4703
1/24/2008,2.6693
1/25/2008,2.5425
1/28/2008,2.493
1/29/2008,2.5675
1/30/2008,2.421
1/31/2008,2.3345
2/1/2008,2.377
2/4/2008,2.3695
2/5/2008,2.2033
2/6/2008,2.192
2/7/2008,2.2815
2/8/2008,2.198
2/11/2008,2.188
2/12/2008,2.183
2/13/2008,2.196
2/14/2008,2.173
2/15/2008,2.1555
2/18/2008,2.2345
2/19/2008,2.305
2/20/2008,2.3365
2/21/2008,2.215
2/22/2008,2.305
2/25/2008,2.336
2/26/2008,2.2385
2/27/2008,2.1825
2/28/2008,2.086
2/29/2008,1.9275
3/3/2008,1.969
3/4/2008,1.9995
3/5/2008,2.061
3/6/2008,1.9115
3/7/2008,1.8885
3/10/2008,1.856
3/11/2008,2.039
3/12/2008,1.9665
3/13/2008,1.922
3/14/2008,1.6995
3/17/2008,1.559
3/18/2008,1.7765
3/19/2008,1.717
3/20/2008,1.873
3/21/2008,1.8755
3/24/2008,1.964
3/25/2008,1.912
3/26/2008,1.8465
3/27/2008,1.855
3/28/2008,1.8385
3/31/2008,1.7935
4/1/2008,1.9255
4/2/2008,1.991
4/3/2008,1.976
4/4/2008,1.877
4/7/2008,1.935
4/8/2008,1.9035
4/9/2008,1.8605
4/10/2008,1.903
4/11/2008,1.8395
4/14/2008,1.8755
4/15/2008,1.957
4/16/2008,1.995
4/17/2008,2.042
4/18/2008,2.079
4/21/2008,2.123
4/22/2008,2.156
4/23/2008,2.159
4/24/2008,2.2245
4/25/2008,2.243
4/28/2008,2.184
4/29/2008,2.1965
4/30/2008,2.1065
5/1/2008,2.131
5/2/2008,2.192
5/5/2008,2.1855
5/6/2008,2.164
5/7/2008,2.123
5/8/2008,2.0838
5/9/2008,2.1243
5/12/2008,2.157
5/13/2008,2.2505
5/14/2008,2.2573
5/15/2008,2.21
5/16/2008,2.2325
5/19/2008,2.22
5/20/2008,2.2045
5/21/2008,2.2335
5/22/2008,2.289
5/23/2008,2.2665
5/26/2008,2.2815
5/27/2008,2.294
5/28/2008,2.314
5/29/2008,2.3525
5/30/2008,2.348
6/2/2008,2.275
6/3/2008,2.2435
6/4/2008,2.276
6/5/2008,2.308
6/6/2008,2.28
6/9/2008,2.497
6/10/2008,2.708
6/11/2008,2.612
6/12/2008,2.814
6/13/2008,2.806
6/16/2008,2.8145
6/17/2008,2.67
6/18/2008,2.6325
6/19/2008,2.6705
6/20/2008,2.6415
6/23/2008,2.6695
6/24/2008,2.6015
6/25/2008,2.5735
6/26/2008,2.4985
6/27/2008,2.449
6/30/2008,2.4745
7/1/2008,2.4805
7/2/2008,2.454
7/3/2008,2.418
7/4/2008,2.4125
7/7/2008,2.3375
7/8/2008,2.3345
7/9/2008,2.296
7/10/2008,2.3255
7/11/2008,2.3805
7/14/2008,2.3055
7/15/2008,2.2305
7/16/2008,2.2905
7/17/2008,2.3515
7/18/2008,2.443
7/21/2008,2.404
7/22/2008,2.465
7/23/2008,2.509
7/24/2008,2.3725
7/25/2008,2.431
7/28/2008,2.36
7/29/2008,2.387
7/30/2008,2.4025
7/31/2008,2.353
8/1/2008,2.3705
8/4/2008,2.398
8/5/2008,2.3745
8/6/2008,2.381
8/7/2008,2.283
8/8/2008,2.3125
8/11/2008,2.3475
8/12/2008,2.266
8/13/2008,2.285
8/14/2008,2.272
8/15/2008,2.266
8/18/2008,2.2475
8/19/2008,2.214
8/20/2008,2.2045
8/21/2008,2.2285
8/22/2008,2.2995
8/25/2008,2.2465
8/26/2008,2.2315
8/27/2008,2.1945
8/28/2008,2.2175
8/29/2008,2.236
9/1/2008,2.1995
9/2/2008,2.186
9/3/2008,2.1875
9/4/2008,2.12
9/5/2008,2.173
9/8/2008,2.1515
9/9/2008,2.105
9/10/2008,2.1085
9/11/2008,2.08
9/12/2008,2.0885
9/15/2008,1.6745
9/16/2008,1.82
9/17/2008,1.688
9/18/2008,1.839
9/19/2008,2.077
9/22/2008,2.0535
9/23/2008,2.0195
9/24/2008,1.994
9/25/2008,1.914
9/26/2008,1.852
9/29/2008,1.64
9/30/2008,1.88
10/1/2008,1.78
10/2/2008,1.6435
10/3/2008,1.516
10/6/2008,1.436
10/7/2008,1.443
10/8/2008,1.375
10/9/2008,1.332
10/10/2008,1.376
10/13/2008,1.39
10/14/2008,1.443
10/15/2008,1.2995
10/16/2008,1.35
10/17/2008,1.318
10/20/2008,1.361
10/21/2008,1.2715
10/22/2008,1.183
10/23/2008,1.1965
10/24/2008,1.168
10/27/2008,1.0865
10/28/2008,1.074
10/29/2008,0.9805
10/30/2008,0.978
10/31/2008,1.025
11/3/2008,0.98
11/4/2008,0.951
11/5/2008,0.9
11/6/2008,0.895
11/7/2008,0.8655
11/10/2008,0.8245
11/11/2008,0.751
11/12/2008,0.781
11/13/2008,0.874
11/14/2008,0.84
11/17/2008,0.774
11/18/2008,0.752
11/19/2008,0.703
11/20/2008,0.591
11/21/2008,0.675
11/24/2008,0.702
11/25/2008,0.635
11/26/2008,0.653
11/27/2008,0.7065
11/28/2008,0.628
12/1/2008,0.577
12/2/2008,0.542
12/3/2008,0.528
12/4/2008,0.527
12/5/2008,0.582
12/8/2008,0.556
12/9/2008,0.49
12/10/2008,0.499
12/11/2008,0.464
12/12/2008,0.5095
12/15/2008,0.489
12/16/2008,0.318
12/17/2008,0.4
12/18/2008,0.4115
12/19/2008,0.411
12/22/2008,0.45
12/23/2008,0.4235
12/24/2008,0.433
12/25/2008,0.445
12/26/2008,0.438
12/29/2008,0.356
12/30/2008,0.366
12/31/2008,0.415
1/1/2009,0.4455
1/2/2009,0.423
1/5/2009,0.368
1/6/2009,0.36
1/7/2009,0.356
1/8/2009,0.35
1/9/2009,0.351
1/12/2009,0.34
1/13/2009,0.3275
1/14/2009,0.306
1/15/2009,0.329
1/16/2009,0.3255
1/19/2009,0.32
1/20/2009,0.311
1/21/2009,0.3305
1/22/2009,0.365
1/23/2009,0.3855
1/26/2009,0.4065
1/27/2009,0.354
1/28/2009,0.39
1/29/2009,0.3965
1/30/2009,0.441
2/2/2009,0.4045
2/3/2009,0.405
2/4/2009,0.402
2/5/2009,0.3925
2/6/2009,0.401
2/9/2009,0.407
2/10/2009,0.402
2/11/2009,0.394
2/12/2009,0.395
2/13/2009,0.4
2/16/2009,0.389
2/17/2009,0.3865
2/18/2009,0.377
2/19/2009,0.3925
2/20/2009,0.373
2/23/2009,0.3625
2/24/2009,0.374
2/25/2009,0.405
2/26/2009,0.416
2/27/2009,0.391
3/2/2009,0.3615
3/3/2009,0.367
3/4/2009,0.384
3/5/2009,0.381
3/6/2009,0.406
3/9/2009,0.403
3/10/2009,0.412
3/11/2009,0.4095
3/12/2009,0.394
3/13/2009,0.376
3/16/2009,0.3815
3/17/2009,0.3855
3/18/2009,0.335
3/19/2009,0.362
3/20/2009,0.353
3/23/2009,0.363
3/24/2009,0.373
3/25/2009,0.378
3/26/2009,0.374
3/27/2009,0.377
3/30/2009,0.363
3/31/2009,0.3395
4/1/2009,0.34
4/2/2009,0.359
4/3/2009,0.374
4/6/2009,0.382
4/7/2009,0.365
4/8/2009,0.3775
4/9/2009,0.37
4/10/2009,0.38
4/13/2009,0.366
4/14/2009,0.333
4/15/2009,0.335
4/16/2009,0.35
4/17/2009,0.3755
4/20/2009,0.369
4/21/2009,0.365
4/22/2009,0.374
4/23/2009,0.372
4/24/2009,0.374
4/27/2009,0.346
4/28/2009,0.362
4/29/2009,0.354
4/30/2009,0.319
5/1/2009,0.359
5/4/2009,0.3675
5/5/2009,0.3525
5/6/2009,0.36
5/7/2009,0.376
5/8/2009,0.386
5/11/2009,0.378
5/12/2009,0.375
5/13/2009,0.377
5/14/2009,0.373
5/15/2009,0.36
5/18/2009,0.3685
5/19/2009,0.361
5/20/2009,0.342
5/21/2009,0.3445
5/22/2009,0.345
5/25/2009,0.3245
5/26/2009,0.361
5/27/2009,0.378
5/28/2009,0.369
5/29/2009,0.3555
6/1/2009,0.384
6/2/2009,0.37
6/3/2009,0.385
6/4/2009,0.4205
6/5/2009,0.6455
6/8/2009,0.651
6/9/2009,0.578
6/10/2009,0.596
6/11/2009,0.565
6/12/2009,0.54
6/15/2009,0.5175
6/16/2009,0.514
6/17/2009,0.5025
6/18/2009,0.5385
6/19/2009,0.5135
6/22/2009,0.4805
6/23/2009,0.463
6/24/2009,0.482
6/25/2009,0.44
6/26/2009,0.461
6/29/2009,0.47
6/30/2009,0.471
7/1/2009,0.4765
7/2/2009,0.423
7/3/2009,0.4175
7/6/2009,0.418
7/7/2009,0.417
7/8/2009,0.413
7/9/2009,0.399
7/10/2009,0.4135
7/13/2009,0.413
7/14/2009,0.435
7/15/2009,0.4605
7/16/2009,0.44
7/17/2009,0.442
7/20/2009,0.441
7/21/2009,0.4105
7/22/2009,0.4125
7/23/2009,0.4395
7/24/2009,0.434
7/27/2009,0.437
7/28/2009,0.458
7/29/2009,0.472
7/30/2009,0.492
7/31/2009,0.475
8/3/2009,0.529
8/4/2009,0.51
8/5/2009,0.541
8/6/2009,0.5355
8/7/2009,0.5735
8/10/2009,0.549
8/11/2009,0.493
8/12/2009,0.475
8/13/2009,0.452
8/14/2009,0.4415
8/17/2009,0.441
8/18/2009,0.438
8/19/2009,0.408
8/20/2009,0.416
8/21/2009,0.469
8/24/2009,0.424
8/25/2009,0.419
8/26/2009,0.4335
8/27/2009,0.418
8/28/2009,0.4105
8/31/2009,0.407
9/1/2009,0.3885
9/2/2009,0.386
9/3/2009,0.4025
9/4/2009,0.406
9/7/2009,0.387
9/8/2009,0.391
9/9/2009,0.388
9/10/2009,0.381
9/11/2009,0.396
9/14/2009,0.4065
9/15/2009,0.414
9/16/2009,0.4305
9/17/2009,0.42
9/18/2009,0.449
9/21/2009,0.4325
9/22/2009,0.4305
9/23/2009,0.399
9/24/2009,0.4
9/25/2009,0.446
9/28/2009,0.4355
9/29/2009,0.4405
9/30/2009,0.437
10/1/2009,0.4085
10/2/2009,0.4155
10/5/2009,0.4075
10/6/2009,0.4145
10/7/2009,0.414
10/8/2009,0.415
10/9/2009,0.463
10/12/2009,0.4435
10/13/2009,0.426
10/14/2009,0.422
10/15/2009,0.436
10/16/2009,0.451
10/19/2009,0.438
10/20/2009,0.437
10/21/2009,0.442
10/22/2009,0.4315
10/23/2009,0.469
10/26/2009,0.478
10/27/2009,0.4355
10/28/2009,0.414
10/29/2009,0.422
10/30/2009,0.401
11/2/2009,0.403
11/3/2009,0.4095
11/4/2009,0.388
11/5/2009,0.3715
11/6/2009,0.349
11/9/2009,0.347
11/10/2009,0.326
11/11/2009,0.3165
11/12/2009,0.311
11/13/2009,0.32
11/16/2009,0.294
11/17/2009,0.2955
11/18/2009,0.284
11/19/2009,0.277
11/20/2009,0.28
11/23/2009,0.279
11/24/2009,0.2715
11/25/2009,0.3
11/26/2009,0.27
11/27/2009,0.2865
11/30/2009,0.281
12/1/2009,0.2915
12/2/2009,0.325
12/3/2009,0.337
12/4/2009,0.401
12/7/2009,0.364
12/8/2009,0.338
12/9/2009,0.34
12/10/2009,0.355
12/11/2009,0.3745
12/14/2009,0.399
12/15/2009,0.4115
12/16/2009,0.4
12/17/2009,0.356
12/18/2009,0.369
12/21/2009,0.388
12/22/2009,0.41
12/23/2009,0.421
12/24/2009,0.461
12/25/2009,0.451
12/28/2009,0.496
12/29/2009,0.4885
12/30/2009,0.4835
12/31/2009,0.512
1/1/2010,0.506
1/4/2010,0.4665
1/5/2010,0.435
1/6/2010,0.415
1/7/2010,0.4185
1/8/2010,0.3875
1/11/2010,0.3735
1/12/2010,0.3553
1/13/2010,0.392
1/14/2010,0.365
1/15/2010,0.348
1/18/2010,0.342
1/19/2010,0.355
1/20/2010,0.358
1/21/2010,0.332
1/22/2010,0.32
1/25/2010,0.325
1/26/2010,0.33
1/27/2010,0.3605
1/28/2010,0.3345
1/29/2010,0.32
2/1/2010,0.3395
2/2/2010,0.34
2/3/2010,0.361
2/4/2010,0.325
2/5/2010,0.311
2/8/2010,0.323
2/9/2010,0.333
2/10/2010,0.3495
2/11/2010,0.3645
2/12/2010,0.348
2/15/2010,0.346
2/16/2010,0.3285
2/17/2010,0.345
2/18/2010,0.382
2/19/2010,0.378
2/22/2010,0.352
2/23/2010,0.3355
2/24/2010,0.323
2/25/2010,0.304
2/26/2010,0.304
3/1/2010,0.296
3/2/2010,0.29
3/3/2010,0.3
3/4/2010,0.339
3/5/2010,0.365
3/8/2010,0.364
3/9/2010,0.3465
3/10/2010,0.363
3/11/2010,0.388
3/12/2010,0.404
3/15/2010,0.3805
3/16/2010,0.369
3/17/2010,0.3575
3/18/2010,0.392
3/19/2010,0.418
3/22/2010,0.396
3/23/2010,0.397
3/24/2010,0.4245
3/25/2010,0.416
3/26/2010,0.42
3/29/2010,0.4218
3/30/2010,0.4275
3/31/2010,0.4275
4/1/2010,0.4083
4/2/2010,0.4275
4/5/2010,0.4735
4/6/2010,0.45
4/7/2010,0.4025
4/8/2010,0.4275
4/9/2010,0.4188
4/12/2010,0.408
4/13/2010,0.4155
4/14/2010,0.416
4/15/2010,0.404
4/16/2010,0.38
4/19/2010,0.386
4/20/2010,0.408
4/21/2010,0.413
4/22/2010,0.42
4/23/2010,0.449
4/26/2010,0.4495
4/27/2010,0.408
4/28/2010,0.406
4/29/2010,0.4105
4/30/2010,0.415
5/3/2010,0.437
5/4/2010,0.415
5/5/2010,0.411
5/6/2010,0.385
5/7/2010,0.389
5/10/2010,0.394
5/11/2010,0.38
5/12/2010,0.3735
5/13/2010,0.357
5/14/2010,0.35
5/17/2010,0.3525
5/18/2010,0.35
5/19/2010,0.353
5/20/2010,0.346
5/21/2010,0.3435
5/24/2010,0.337
5/25/2010,0.335
5/26/2010,0.3635
5/27/2010,0.37
5/28/2010,0.362
5/31/2010,0.37
6/1/2010,0.3585
6/2/2010,0.376
6/3/2010,0.374
6/4/2010,0.334
6/7/2010,0.343
6/8/2010,0.3415
6/9/2010,0.336
6/10/2010,0.336
6/11/2010,0.3285
6/14/2010,0.3285
6/15/2010,0.335
6/16/2010,0.324
6/17/2010,0.3165
6/18/2010,0.315
6/21/2010,0.311
6/22/2010,0.307
6/23/2010,0.296
6/24/2010,0.2995
6/25/2010,0.287
6/28/2010,0.28
6/29/2010,0.2915
6/30/2010,0.29
7/1/2010,0.2915
7/2/2010,0.292
7/5/2010,0.281
7/6/2010,0.285
7/7/2010,0.279
7/8/2010,0.279
7/9/2010,0.279
7/12/2010,0.282
7/13/2010,0.276
7/14/2010,0.2665
7/15/2010,0.265
7/16/2010,0.256
7/19/2010,0.254
7/20/2010,0.249
7/21/2010,0.244
7/22/2010,0.231
7/23/2010,0.2355
7/26/2010,0.247
7/27/2010,0.265
7/28/2010,0.258
7/29/2010,0.25
7/30/2010,0.238
8/2/2010,0.232
8/3/2010,0.218
8/4/2010,0.2285
8/5/2010,0.216
8/6/2010,0.203
8/9/2010,0.2105
8/10/2010,0.206
8/11/2010,0.204
8/12/2010,0.213
8/13/2010,0.2115
8/16/2010,0.2088
8/17/2010,0.22
8/18/2010,0.21
8/19/2010,0.204
8/20/2010,0.2035
8/23/2010,0.201
8/24/2010,0.205
8/25/2010,0.206
8/26/2010,0.209
8/27/2010,0.221
8/30/2010,0.21
8/31/2010,0.208
9/1/2010,0.218
9/2/2010,0.215
9/3/2010,0.213
9/6/2010,0.22
9/7/2010,0.2115
9/8/2010,0.222
9/9/2010,0.2355
9/10/2010,0.238
9/13/2010,0.223
9/14/2010,0.2188
9/15/2010,0.222
9/16/2010,0.215
9/17/2010,0.218
9/20/2010,0.212
9/21/2010,0.206
9/22/2010,0.2045
9/23/2010,0.199
9/24/2010,0.208
9/27/2010,0.203
9/28/2010,0.195
9/29/2010,0.1935
9/30/2010,0.1995
10/1/2010,0.2035
10/4/2010,0.196
10/5/2010,0.1885
10/6/2010,0.179
10/7/2010,0.174
10/8/2010,0.178
10/11/2010,0.173
10/12/2010,0.176
10/13/2010,0.168
10/14/2010,0.178
10/15/2010,0.176
10/18/2010,0.179
10/19/2010,0.18
10/20/2010,0.175
10/21/2010,0.175
10/22/2010,0.179
10/25/2010,0.177
10/26/2010,0.189
10/27/2010,0.1985
10/28/2010,0.179
10/29/2010,0.177
11/1/2010,0.181
11/2/2010,0.177
11/3/2010,0.183
11/4/2010,0.177
11/5/2010,0.191
11/8/2010,0.192
11/9/2010,0.196
11/10/2010,0.197
11/11/2010,0.209
11/12/2010,0.217
11/15/2010,0.226
11/16/2010,0.22
11/17/2010,0.211
11/18/2010,0.214
11/19/2010,0.219
11/22/2010,0.218
11/23/2010,0.2075
11/24/2010,0.2235
11/25/2010,0.2315
11/26/2010,0.22
11/29/2010,0.2175
11/30/2010,0.24
12/1/2010,0.2315
12/2/2010,0.2385
12/3/2010,0.2175
12/6/2010,0.201
12/7/2010,0.215
12/8/2010,0.245
12/9/2010,0.242
12/10/2010,0.2475
12/13/2010,0.2405
12/14/2010,0.246
12/15/2010,0.257
12/16/2010,0.255
12/17/2010,0.247
12/20/2010,0.245
12/21/2010,0.2455
12/22/2010,0.249
12/23/2010,0.254
12/24/2010,0.256
12/27/2010,0.251
12/28/2010,0.258
12/29/2010,0.2325
12/30/2010,0.2285
12/31/2010,0.224
1/3/2011,0.223
1/4/2011,0.2295
1/5/2011,0.2565
1/6/2011,0.26
1/7/2011,0.229
1/10/2011,0.2155
1/11/2011,0.2255
1/12/2011,0.2225
1/13/2011,0.215
1/14/2011,0.217
1/17/2011,0.215
1/18/2011,0.215
1/19/2011,0.206
1/20/2011,0.22
1/21/2011,0.2165
1/24/2011,0.2185
1/25/2011,0.214
1/26/2011,0.2155
1/27/2011,0.197
1/28/2011,0.194
1/31/2011,0.2005
2/1/2011,0.212
2/2/2011,0.229
2/3/2011,0.239
2/4/2011,0.2515
2/7/2011,0.256
2/8/2011,0.2775
2/9/2011,0.266
2/10/2011,0.269
2/11/2011,0.269
2/14/2011,0.2695
2/15/2011,0.272
2/16/2011,0.262
2/17/2011,0.2405
2/18/2011,0.231
2/21/2011,0.222
2/22/2011,0.225
2/23/2011,0.2165
2/24/2011,0.215
2/25/2011,0.2123
2/28/2011,0.206
3/1/2011,0.2025
3/2/2011,0.213
3/3/2011,0.234
3/4/2011,0.21
3/7/2011,0.213
3/8/2011,0.224
3/9/2011,0.2155
3/10/2011,0.206
3/11/2011,0.2095
3/14/2011,0.203
3/15/2011,0.1995
