Date,TFF1LAIL INDEX
6/15/2010,418437
6/22/2010,428055
6/29/2010,436268
7/6/2010,439698
7/13/2010,436647
7/20/2010,439798
7/27/2010,436528
8/3/2010,426131
8/10/2010,433037
8/17/2010,425661
8/24/2010,429139
8/31/2010,432585
9/7/2010,422728
9/14/2010,430902
9/21/2010,426341
9/28/2010,425709
10/5/2010,420027
10/12/2010,424492
10/19/2010,429311
10/26/2010,428735
11/2/2010,419410
11/9/2010,424390
11/16/2010,420271
11/23/2010,423382
11/30/2010,423682
12/7/2010,419867
12/14/2010,426392
12/21/2010,415424
12/28/2010,420679
1/4/2011,414467
1/11/2011,410307
1/18/2011,414927
1/25/2011,423778
2/1/2011,422984
2/8/2011,427792
2/15/2011,428804
2/22/2011,427807
3/1/2011,415559
3/8/2011,413675
3/15/2011,421791
3/22/2011,419833
3/29/2011,413664
4/5/2011,399316
4/12/2011,402003
4/19/2011,409646
4/26/2011,411439
5/3/2011,403571
5/10/2011,403444
5/17/2011,406142
5/24/2011,410614
5/31/2011,405706
6/7/2011,400823
6/14/2011,407525
6/21/2011,403084
6/28/2011,400133
7/5/2011,389584
7/12/2011,388204
7/19/2011,386546
7/26/2011,383287
8/2/2011,380893
8/9/2011,390050
8/16/2011,399140
8/23/2011,401430
8/30/2011,409859
9/6/2011,406896
9/13/2011,401617
9/20/2011,395432
9/27/2011,383032
10/4/2011,372179
10/11/2011,375404
10/18/2011,375948
10/25/2011,367220
11/1/2011,345751
11/8/2011,356149
11/15/2011,355433
11/22/2011,355910
11/29/2011,357475
12/6/2011,348918
12/13/2011,350071
12/20/2011,352776
12/27/2011,359822
1/3/2012,356420
1/10/2012,358190
1/17/2012,363877
1/24/2012,368020
1/31/2012,367748
2/7/2012,372939
2/14/2012,381164
2/21/2012,382375
2/28/2012,386693
3/6/2012,377959
3/13/2012,390623
3/20/2012,388818
3/27/2012,393739
4/3/2012,380452
4/10/2012,375351
4/17/2012,374315
4/24/2012,370066
5/1/2012,363323
5/8/2012,362508
5/15/2012,356911
5/22/2012,359681
5/29/2012,360591
6/5/2012,357833
6/12/2012,373443
6/19/2012,364100
6/26/2012,367589
7/3/2012,361624
7/10/2012,361817
7/17/2012,360923
7/24/2012,356946
7/31/2012,354476
8/7/2012,359527
8/14/2012,369559
8/21/2012,371184
8/28/2012,372881
9/4/2012,363840
9/11/2012,363043
9/18/2012,380691
9/25/2012,385312
10/2/2012,391461
10/9/2012,387818
10/16/2012,389004
10/23/2012,395890
10/30/2012,399499
11/6/2012,380878
11/13/2012,356379
11/20/2012,353459
11/27/2012,359918
12/4/2012,348557
12/11/2012,343006
12/18/2012,348466
12/25/2012,363376
1/1/2013,355826
1/8/2013,358858
1/15/2013,355387
1/22/2013,362105
1/29/2013,374121
2/5/2013,359570
2/12/2013,352318
2/19/2013,346110
2/26/2013,340947
3/5/2013,309481
3/12/2013,320023
3/19/2013,335604
3/26/2013,343814
4/2/2013,347261
4/9/2013,349107
4/16/2013,348994
4/23/2013,338406
4/30/2013,338920
5/7/2013,339607
5/14/2013,345770
5/21/2013,363392
5/28/2013,368767
6/4/2013,361309
6/11/2013,351860
6/18/2013,358846
6/25/2013,332368
7/2/2013,323720
7/9/2013,331386
7/16/2013,335096
7/23/2013,343892
7/30/2013,345706
8/6/2013,343609
8/13/2013,336626
8/20/2013,327608
8/27/2013,321529
9/3/2013,313869
9/10/2013,314762
9/17/2013,319321
9/24/2013,315377
10/1/2013,302244
10/8/2013,299046
10/15/2013,296794
10/22/2013,306930
10/29/2013,316267
11/5/2013,308368
11/12/2013,307645
11/19/2013,308308
11/26/2013,306803
12/3/2013,299329
12/10/2013,303377
12/17/2013,302970
12/24/2013,317582
12/31/2013,316962
1/7/2014,318368
1/14/2014,325455
1/21/2014,325991
1/28/2014,311069
2/4/2014,302068
2/11/2014,315879
2/18/2014,313151
2/25/2014,299557
3/4/2014,304094
3/11/2014,309714
3/18/2014,315704
3/25/2014,322290
4/1/2014,313918
4/8/2014,309079
4/15/2014,302350
4/22/2014,299665
4/29/2014,296518
5/6/2014,300252
5/13/2014,305537
5/20/2014,301965
5/27/2014,306752
6/3/2014,315566
6/10/2014,314012
6/17/2014,316095
6/24/2014,327659
7/1/2014,325200
7/8/2014,324910
7/15/2014,324395
7/22/2014,324304
7/29/2014,326328
8/5/2014,314067
8/12/2014,314531
8/19/2014,321460
8/26/2014,321379
9/2/2014,317563
9/9/2014,316189
9/16/2014,324541
9/23/2014,331784
9/30/2014,325304
10/7/2014,312711
10/14/2014,309176
10/21/2014,313014
10/28/2014,316732
11/4/2014,310979
11/11/2014,315427
11/18/2014,327126
11/25/2014,329976
12/2/2014,324297
12/9/2014,325080
12/16/2014,309845
12/23/2014,330876
12/30/2014,332974
1/6/2015,319680
1/13/2015,323607
1/20/2015,315513
