date,mktrf,smb,hml,umd
20090102,0.031100,-0.012800,-0.004600,-0.043400
20090105,-0.002800,0.007100,-0.011400,-0.031200
20090106,0.008700,0.010100,0.008400,-0.050700
20090107,-0.029600,0.003800,-0.011900,0.018600
20090108,0.004700,0.007200,0.003500,-0.016100
20090109,-0.022100,-0.013800,-0.011900,0.008000
20090112,-0.022800,0.004000,-0.019400,0.039700
20090113,0.002800,0.003200,0.004300,0.007200
20090114,-0.033800,-0.005100,-0.012600,0.029100
20090115,0.003900,0.023200,-0.022800,0.018500
20090116,0.007400,0.005100,-0.011100,0.002400
20090120,-0.053400,0.002800,-0.040900,0.047100
20090121,0.042100,-0.013600,0.028400,-0.042400
20090122,-0.016200,-0.008900,-0.017600,0.024300
20090123,0.004400,-0.006100,0.011200,-0.025600
20090126,0.005400,0.008100,-0.006400,0.001000
20090127,0.010800,-0.003800,0.003400,-0.013100
20090128,0.033200,-0.007100,0.028000,-0.040500
20090129,-0.032300,-0.001200,-0.022000,0.031100
20090130,-0.021600,0.002100,-0.011500,0.018600
20090202,0.000600,0.012600,-0.003900,0.010400
20090203,0.014600,-0.001300,-0.023900,0.008700
20090204,-0.006000,-0.002100,-0.003400,-0.009200
20090205,0.016100,0.001100,-0.001200,-0.017000
20090206,0.027900,-0.001800,0.024000,-0.029900
20090209,0.000300,-0.008400,0.000400,-0.014100
20090210,-0.046200,0.011300,-0.028200,0.037500
20090211,0.007500,-0.007800,0.012400,-0.008100
20090212,0.003000,0.003200,-0.005400,0.002300
20090213,-0.008500,0.010000,-0.014900,-0.001900
20090217,-0.043600,0.010900,-0.023500,0.042100
20090218,-0.003300,-0.008400,-0.007500,0.009600
20090219,-0.011500,0.000000,-0.020000,0.019600
20090220,-0.011600,-0.000400,-0.008800,0.014300
20090223,-0.034300,-0.005200,0.008300,0.018900
20090224,0.040000,-0.010500,0.030300,-0.041000
20090225,-0.011500,-0.015100,0.003300,0.003900
20090226,-0.015300,-0.005000,0.013500,-0.016400
20090227,-0.020100,0.018500,-0.020800,0.022600
20090302,-0.047500,-0.002400,-0.002400,0.053400
20090303,-0.007100,-0.006600,-0.023400,0.002500
20090304,0.024200,0.005300,-0.009100,-0.017200
20090305,-0.042100,-0.003600,-0.030900,0.033500
20090306,0.002000,0.004100,-0.006200,0.005700
20090309,-0.010900,-0.008700,0.002600,-0.016600
20090310,0.063500,-0.009900,0.041900,-0.065600
20090311,0.003000,-0.005900,0.006100,-0.009800
