Date,TFF1LLFN INDEX
6/15/2010,-109051
6/22/2010,-111366
6/29/2010,-106709
7/6/2010,-128789
7/13/2010,-145992
7/20/2010,-136589
7/27/2010,-124540
8/3/2010,-121200
8/10/2010,-119599
8/17/2010,-115430
8/24/2010,-134086
8/31/2010,-144552
9/7/2010,-139172
9/14/2010,-132672
9/21/2010,-72875
9/28/2010,-57440
10/5/2010,-56799
10/12/2010,-58430
10/19/2010,-64395
10/26/2010,-40925
11/2/2010,-32878
11/9/2010,-46314
11/16/2010,-58073
11/23/2010,-58961
11/30/2010,-50777
12/7/2010,-56715
12/14/2010,-46550
12/21/2010,-57633
12/28/2010,-62063
1/4/2011,-62168
1/11/2011,-55573
1/18/2011,-72781
1/25/2011,-74000
2/1/2011,-81231
2/8/2011,-101358
2/15/2011,-112660
2/22/2011,-109145
3/1/2011,-118364
3/8/2011,-111586
3/15/2011,-125386
3/22/2011,-116463
3/29/2011,-119817
4/5/2011,-113005
4/12/2011,-121791
4/19/2011,-116940
4/26/2011,-94108
5/3/2011,-75366
5/10/2011,-89133
5/17/2011,-94490
5/24/2011,-96073
5/31/2011,-97173
6/7/2011,-111514
6/14/2011,-103790
6/21/2011,-96633
6/28/2011,-92122
7/5/2011,-79401
7/12/2011,-65760
7/19/2011,-72408
7/26/2011,-78699
8/2/2011,-79900
8/9/2011,-87340
8/16/2011,-115770
8/23/2011,-137869
8/30/2011,-152783
9/6/2011,-144277
9/13/2011,-127448
9/20/2011,-129484
9/27/2011,-90591
10/4/2011,-94641
10/11/2011,-98487
10/18/2011,-104066
10/25/2011,-97114
11/1/2011,-84164
11/8/2011,-91954
11/15/2011,-83673
11/22/2011,-97740
11/29/2011,-101109
12/6/2011,-65462
12/13/2011,-64152
12/20/2011,-54306
12/27/2011,-57696
1/3/2012,-43317
1/10/2012,-56227
1/17/2012,-59704
1/24/2012,-57525
1/31/2012,-59523
2/7/2012,-66939
2/14/2012,-78064
2/21/2012,-82088
2/28/2012,-80901
3/6/2012,-96938
3/13/2012,-86026
3/20/2012,-92432
3/27/2012,-97747
4/3/2012,-81897
4/10/2012,-96185
4/17/2012,-86538
4/24/2012,-91527
5/1/2012,-74962
5/8/2012,-105077
5/15/2012,-96825
5/22/2012,-120238
5/29/2012,-122258
6/5/2012,-117800
6/12/2012,-132523
6/19/2012,-115386
6/26/2012,-110625
7/3/2012,-99874
7/10/2012,-122786
7/17/2012,-125145
7/24/2012,-135920
7/31/2012,-111507
8/7/2012,-108635
8/14/2012,-129670
8/21/2012,-135378
8/28/2012,-134259
9/4/2012,-144268
9/11/2012,-131396
9/18/2012,-111954
9/25/2012,-76658
10/2/2012,-83508
10/9/2012,-83335
10/16/2012,-68647
10/23/2012,-79065
10/30/2012,-74546
11/6/2012,-68919
11/13/2012,-59723
11/20/2012,-74923
11/27/2012,-77295
12/4/2012,-65461
12/11/2012,-40452
12/18/2012,-37943
12/25/2012,-67589
1/1/2013,-60529
1/8/2013,-82874
1/15/2013,-90643
1/22/2013,-103601
1/29/2013,-100136
2/5/2013,-96981
2/12/2013,-104913
2/19/2013,-97874
2/26/2013,-97483
3/5/2013,-78448
3/12/2013,-80037
3/19/2013,-67995
3/26/2013,-76504
4/2/2013,-81920
4/9/2013,-63457
4/16/2013,-69576
4/23/2013,-67975
4/30/2013,-57306
5/7/2013,-66346
5/14/2013,-78170
5/21/2013,-88920
5/28/2013,-97960
6/4/2013,-95323
6/11/2013,-92569
6/18/2013,-89233
6/25/2013,-42816
7/2/2013,-50712
7/9/2013,-59394
7/16/2013,-66058
7/23/2013,-71658
7/30/2013,-66806
8/6/2013,-76466
8/13/2013,-80306
8/20/2013,-72259
8/27/2013,-80095
9/3/2013,-84700
9/10/2013,-89766
9/17/2013,-74451
9/24/2013,-52447
10/1/2013,-50102
10/8/2013,-46335
10/15/2013,-40072
10/22/2013,-40502
10/29/2013,-41608
11/5/2013,-46267
11/12/2013,-44368
11/19/2013,-45891
11/26/2013,-45668
12/3/2013,-43854
12/10/2013,-44461
12/17/2013,-28854
12/24/2013,-50031
12/31/2013,-52903
1/7/2014,-50873
1/14/2014,-59776
1/21/2014,-67802
1/28/2014,-62787
2/4/2014,-71836
2/11/2014,-91647
2/18/2014,-96605
2/25/2014,-92065
3/4/2014,-100731
3/11/2014,-107960
3/18/2014,-99698
3/25/2014,-89602
4/1/2014,-77506
4/8/2014,-81023
4/15/2014,-82496
4/22/2014,-71086
4/29/2014,-63620
5/6/2014,-84935
5/13/2014,-83024
5/20/2014,-100072
5/27/2014,-89281
6/3/2014,-95158
6/10/2014,-96550
6/17/2014,-102081
6/24/2014,-117017
7/1/2014,-108221
7/8/2014,-111459
7/15/2014,-99659
7/22/2014,-92184
7/29/2014,-101108
8/5/2014,-95713
8/12/2014,-98551
8/19/2014,-100303
8/26/2014,-95018
9/2/2014,-97489
9/9/2014,-99964
9/16/2014,-99148
9/23/2014,-91802
9/30/2014,-89042
10/7/2014,-87299
10/14/2014,-72969
10/21/2014,-111254
10/28/2014,-101381
11/4/2014,-65829
11/11/2014,-61096
11/18/2014,-57271
11/25/2014,-58415
12/2/2014,-46892
12/9/2014,-36207
12/16/2014,-10448
12/23/2014,-33768
12/30/2014,-36057
1/6/2015,-23633
1/13/2015,-37110
1/20/2015,-37076
1/27/2015,-38203
2/3/2015,-49408
2/10/2015,-49646
2/17/2015,-49605
2/24/2015,-55699
3/3/2015,-60117
3/10/2015,-77560
3/17/2015,-65003
3/24/2015,-74738
3/31/2015,-76153
4/7/2015,-70704
4/14/2015,-64254
4/21/2015,-54274
4/28/2015,-56277
5/5/2015,-70064
5/12/2015,-61173
5/19/2015,-52331
5/26/2015,-68110
6/2/2015,-61944
6/9/2015,-75646
6/16/2015,-73811
6/23/2015,-94349
6/30/2015,-92235
7/7/2015,-93376
7/14/2015,-82385
7/21/2015,-78626
7/28/2015,-68899
8/4/2015,-75814
8/11/2015,-80555
8/18/2015,-72284
8/25/2015,-51272
9/1/2015,-78635
9/8/2015,-92950
9/15/2015,-98493
9/22/2015,-95348
9/29/2015,-90411
10/6/2015,-114696
10/13/2015,-119299
10/20/2015,-120275
10/27/2015,-106167
11/3/2015,-106393
11/10/2015,-109501
11/17/2015,-100030
11/24/2015,-75424
12/1/2015,-67875
12/8/2015,-52234
12/15/2015,-32571
12/22/2015,-52502
12/29/2015,-59697
1/5/2016,-60212
1/12/2016,-54501
1/19/2016,-78987
1/26/2016,-69315
2/2/2016,-88741
2/9/2016,-72265
2/16/2016,-75727
2/23/2016,-71667
3/1/2016,-69627
3/8/2016,-69502
3/15/2016,-61080
3/22/2016,-70303
3/29/2016,-70972
4/5/2016,-63918
4/12/2016,-61981
4/19/2016,-59560
4/26/2016,-42688
5/3/2016,-46955
5/10/2016,-52827
5/17/2016,-65168
5/24/2016,-63772
5/31/2016,-69520
6/7/2016,-85866
6/14/2016,-63143
6/21/2016,-73879
6/28/2016,-88322
7/5/2016,-96034
7/12/2016,-73372
7/19/2016,-66094
7/26/2016,-65707
8/2/2016,-70477
8/9/2016,-71806
8/16/2016,-64587
8/23/2016,-64588
8/30/2016,-54455
9/6/2016,-62402
