Week,SPY_Flow,VOO_Flow,Comb_Flow,SPXTR,SPXTR_Ret
10/13/2017,5726.3562,318.573323,6044.929523,2899.7361,
10/20/2017,4735.19,326.7543,5061.9443,2925.3874,0.008846081
10/27/2017,-1305.766,1293.341733,-12.424267,2932.1943,0.002326837
11/3/2017,-1641.25,403.59464,-1237.65536,2940.8157,0.002940255
11/10/2017,-5669.061,1105.492982,-4563.568018,2936.6101,-0.001430079
11/17/2017,-3337.986,-280.8301,-3618.8161,2934.9351,-0.000570386
11/24/2017,4440.108,85.3411,4525.4491,2962.2981,0.009323204
12/1/2017,3170.374,72.158247,3242.532247,3009.675,0.015993293
12/8/2017,6505.918,131.669098,6637.587098,3021.3591,0.00388218
12/15/2017,2603.1,355.920805,2959.020805,3049.9165,0.009451839
12/22/2017,8684.917,534.47229,9219.38929,3059.0938,0.003009033
12/29/2017,-6640.574,351.766,-6288.808,3048.9711,-0.003309052
1/5/2018,-4909.18,365.0323,-4544.1477,3129.0631,0.026268534
1/12/2018,6205.27,592.0705,6797.3405,3179.4915,0.016116134
1/19/2018,8525.995,73.3904,8599.3854,3207.3661,0.008766999
1/26/2018,1474.445,677.9554,2152.4004,3279.0302,0.022343598
2/2/2018,4451.5441,860.9829,5312.527,3153.873,-0.038168968
2/9/2018,-23640.9717,-209.372,-23850.3437,2992.8971,-0.051040705
2/16/2018,2718.894,839.913,3558.807,3123.8082,0.043740595
2/23/2018,-1633.392,508.3814,-1125.0106,3141.7918,0.005756948
3/2/2018,1290.3094,583.8145,1874.1239,3079.591,-0.019797875
3/9/2018,-901.89,456.1015,-445.7885,3190.0183,0.035857781
3/16/2018,1072.529,649.24573,1721.77473,3151.8232,-0.011973317
3/23/2018,-9826.1,-169.43037,-9995.53037,2964.8272,-0.05932947
3/30/2018,722.29,-1234.925,-512.635,3025.7598,0.020551822
4/6/2018,-5075.117,290.9555,-4784.1615,2984.9071,-0.013501634
4/13/2018,5758.742,-243.530826,5515.211174,3045.8677,0.020422947
4/20/2018,879.564,443.3765,1322.9405,3062.3411,0.005408442
4/27/2018,-48.633,21.8188,-26.8142,3062.3392,-6.20E-07
5/4/2018,-2991.4872,-65.2987,-3056.7859,3055.8855,-0.002107441
5/11/2018,3218.023,623.598083,3841.621083,3131.9159,0.02487999
5/18/2018,1304.281,70.589774,1374.870774,3117.2695,-0.004676498
5/25/2018,1494.273,326.37854,1820.65154,3127.5995,0.003313798
6/1/2018,-2560.879,82.2606,-2478.6184,3144.5405,0.005416614
6/8/2018,-1340.605,122.975265,-1217.629735,3196.6711,0.01657813
6/15/2018,1230.197,417.7283,1647.9253,3198.9756,0.000720906
6/22/2018,1269.0702,-393.27809,875.79211,3171.058,-0.008727044
6/29/2018,-5086.819,131.1558,-4955.6632,3129.6439,-0.013060026
7/6/2018,-378.586,-92.47434,-471.06034,3178.4994,0.015610562
7/13/2018,-305.54,47.048703,-258.491297,3227.6129,0.015451788
7/20/2018,-423.1854,216.10625,-207.07915,3228.8863,0.000394533
7/27/2018,4433.613,459.7892,4893.4022,3248.6648,0.006125487
8/3/2018,-3661.259,27.105191,-3634.153809,3274.6263,0.007991437
8/10/2018,4034.514,668.86042,4703.37442,3268.7465,-0.001795564
8/17/2018,-2268.0701,1292.7091,-975.361,3290.388,0.006620734
8/24/2018,-1908.59,94.9527,-1813.6373,3319.3224,0.008793613
8/31/2018,-1150.908,-144.018098,-1294.926098,3351.8837,0.009809623
9/7/2018,-2604.875,3663.581,1058.706,3318.9954,-0.009811886
9/14/2018,-103.328,364.677818,261.349818,3359.1301,0.012092424
9/21/2018,8360.315,2511.8402,10872.1552,3388.0969,0.008623304
9/28/2018,-643.3327,-2112.2693,-2755.602,3370.9619,-0.005057411
10/5/2018,1841.914,839.9423,2681.8563,3339.0763,-0.009458903
10/12/2018,-4184.805,433.56014,-3751.24486,3203.3383,-0.040651362
10/19/2018,-1938.331,421.4302,-1516.9008,3204.7766,0.000449
10/26/2018,-4197.714,-5.6438,-4203.3578,3078.7048,-0.039338717
11/2/2018,2783.198,916.2748,3699.4728,3154.0321,0.024467205
11/9/2018,1503.999,40.5431,1544.5421,3223.7792,0.02211363
11/16/2018,229.176,113.473023,342.649023,3174.1098,-0.015407197
11/23/2018,172.61,148.9168,321.5268,3054.5392,-0.037670593
11/30/2018,4093.733,261.3861,4355.1191,3204.5389,0.049107145
12/7/2018,-4877.232,611.3067,-4265.9253,3058.6312,-0.045531574
12/14/2018,2675.323,-66.938172,2608.384828,3021.1925,-0.012240345
12/21/2018,6720.122,580.0518,7300.1738,2808.8379,-0.070288338
12/28/2018,-2166.22,-3567.0988,-5733.3188,2890.1047,0.028932535
1/4/2019,-3543,505.422798,-3037.577202,2945.0253,0.019002979
1/11/2019,-1989.097,69.063109,-1920.033891,3020.8852,0.025758658
1/18/2019,-4672.381,617.6466,-4054.7344,3108.397,0.028968926
1/25/2019,-237.4662,55.787376,-181.678824,3101.8026,-0.002121479
2/1/2019,-1823.927,1110.9204,-713.0066,3151.9143,0.01615567
2/8/2019,203.688,-260.651883,-56.963883,3155.3818,0.001100125
2/15/2019,-606.389,256.8015,-349.5875,3236.1886,0.025609199
2/22/2019,1484.391,149.78126,1634.17226,3257.343,0.006536825
3/1/2019,2512.842,-343.95606,2168.88594,3272.347,0.004606208
3/8/2019,-5825.01,-1087.1128,-6912.1228,3202.9162,-0.021217432
3/15/2019,137.8543,4309.9476,4447.8019,3297.3034,0.029469144
3/22/2019,4301.495,273.8512,4575.3462,3272.5755,-0.007499431
3/29/2019,2623.6349,-31.7341,2591.9008,3312.9121,0.012325644
4/5/2019,400.562,75.41518,475.97718,3382.0562,0.020871094
4/12/2019,5672.721,823.0263,6495.7473,3400.9734,0.005593402
4/19/2019,-2083.967,314.2593,-1769.7077,3398.6871,-0.000672249
4/26/2019,-2879.8674,-77.29673,-2957.16413,3439.8319,0.012106086
5/3/2019,-695.4934,446.975787,-248.517613,3447.3384,0.002182229
5/10/2019,-7536.615,-329.6419,-7866.2569,3374.8904,-0.021015633
5/17/2019,-131.865,211.9491,80.0841,3351.7579,-0.006854297
5/24/2019,41.438,-82.5095,-41.0715,3313.5707,-0.011393186
5/31/2019,-4320.232,71.8512,-4248.3808,3227.9934,-0.025826309
