date,mktrf,umd
2009/1/2,0.0311,-0.0434
2009/1/5,-0.0028,-0.0312
2009/1/6,0.0087,-0.0507
2009/1/7,-0.0296,0.0186
2009/1/8,0.0047,-0.0161
2009/1/9,-0.0221,0.008
2009/1/12,-0.0228,0.0397
2009/1/13,0.0028,0.0072
2009/1/14,-0.0338,0.0291
2009/1/15,0.0039,0.0185
2009/1/16,0.0074,0.0024
2009/1/20,-0.0534,0.047
2009/1/21,0.0421,-0.0424
2009/1/22,-0.0162,0.0243
2009/1/23,0.0044,-0.0256
2009/1/26,0.0054,0.001
2009/1/27,0.0108,-0.0131
2009/1/28,0.0332,-0.0405
2009/1/29,-0.0323,0.0311
2009/1/30,-0.0216,0.0186
2009/2/2,0.0006,0.0104
2009/2/3,0.0146,0.0087
2009/2/4,-0.006,-0.0091
2009/2/5,0.0161,-0.017
2009/2/6,0.0279,-0.0299
2009/2/9,0.0003,-0.0141
2009/2/10,-0.0462,0.0375
2009/2/11,0.0075,-0.0081
2009/2/12,0.003,0.0023
2009/2/13,-0.0085,-0.0019
2009/2/17,-0.0436,0.0421
2009/2/18,-0.0033,0.0096
2009/2/19,-0.0115,0.0196
2009/2/20,-0.0116,0.0143
2009/2/23,-0.0343,0.0189
2009/2/24,0.04,-0.041
2009/2/25,-0.0115,0.0039
2009/2/26,-0.0153,-0.0164
2009/2/27,-0.0201,0.0226
2009/3/2,-0.0475,0.0533
2009/3/3,-0.0071,0.0025
2009/3/4,0.0242,-0.0171
2009/3/5,-0.0421,0.0335
2009/3/6,0.002,0.0057
2009/3/9,-0.0109,-0.0166
2009/3/10,0.0635,-0.0656
2009/3/11,0.003,-0.0098
2009/3/12,0.0416,-0.0355
2009/3/13,0.0073,-0.0011
2009/3/16,-0.0055,-0.0148
2009/3/17,0.032,-0.0143
2009/3/18,0.0218,-0.0516
2009/3/19,-0.0103,0.0022
2009/3/20,-0.0195,0.0285
2009/3/23,0.0689,-0.0752
2009/3/24,-0.0193,0.0022
2009/3/25,0.0094,-0.0057
2009/3/26,0.0268,-0.0222
2009/3/27,-0.0206,0.0097
2009/3/30,-0.0347,0.0666
2009/3/31,0.0129,-0.016
2009/4/1,0.0165,-0.0261
2009/4/2,0.0307,-0.0429
2009/4/3,0.0102,-0.0315
2009/4/6,-0.0093,0.0027
2009/4/7,-0.0242,0.0185
2009/4/8,0.0128,-0.0104
2009/4/9,0.0391,-0.0819
2009/4/13,0.0026,-0.0391
2009/4/14,-0.0202,0.0145
2009/4/15,0.0112,-0.02
2009/4/16,0.0169,-0.0166
2009/4/17,0.0055,-0.0195
2009/4/20,-0.0432,0.0701
2009/4/21,0.0219,-0.0387
2009/4/22,-0.0061,-0.0172
2009/4/23,0.0066,-0.0103
2009/4/24,0.0177,-0.0344
2009/4/27,-0.0095,0.0224
2009/4/28,-0.002,0.0127
2009/4/29,0.0241,-0.0274
2009/4/30,-0.0004,-0.0254
2009/5/1,0.0045,-0.0193
2009/5/4,0.0336,-0.0527
2009/5/5,-0.0027,-0.0134
2009/5/6,0.0145,-0.0368
2009/5/7,-0.0142,0.0112
2009/5/8,0.0248,-0.0513
2009/5/11,-0.0201,0.0225
2009/5/12,-0.0031,0.0178
2009/5/13,-0.0291,0.0509
2009/5/14,0.0111,-0.0168
2009/5/15,-0.0102,0.0165
2009/5/18,0.0313,-0.0341
2009/5/19,-0.0004,-0.0127
2009/5/20,-0.0048,-0.0075
2009/5/21,-0.0168,0.0166
2009/5/22,-0.0015,0.004
2009/5/26,0.0278,-0.0036
2009/5/27,-0.018,-0.0038
2009/5/28,0.0135,-0.0127
2009/5/29,0.0138,-0.0061
2009/6/1,0.0272,-0.0195
2009/6/2,0.0029,0.0077
2009/6/3,-0.0139,0.0272
2009/6/4,0.0118,-0.0267
2009/6/5,-0.0019,-0.0013
2009/6/8,-0.002,0.0068
2009/6/9,0.0049,-0.0102
2009/6/10,-0.0035,-0.0124
2009/6/11,0.0063,-0.0141
2009/6/12,0.0003,0.0047
2009/6/15,-0.0238,0.0151
2009/6/16,-0.0133,0.0127
2009/6/17,-0.0008,0.0262
2009/6/18,0.0074,0.0072
2009/6/19,0.0035,-0.002
2009/6/22,-0.0308,0.0376
2009/6/23,0.0008,-0.0077
2009/6/24,0.0078,-0.0071
2009/6/25,0.0219,-0.0049
2009/6/26,0.0004,0.0009
2009/6/29,0.0082,-0.0011
2009/6/30,-0.0074,0.0002
2009/7/1,0.0054,0.0023
2009/7/2,-0.0289,0.0101
2009/7/6,-0.0003,0.0205
2009/7/7,-0.0193,0.011
2009/7/8,-0.002,0.0111
2009/7/9,0.0035,-0.0109
2009/7/10,-0.0035,0.0033
2009/7/13,0.0243,-0.0046
2009/7/14,0.0059,-0.0077
2009/7/15,0.0298,-0.0158
2009/7/16,0.0094,-0.0084
2009/7/17,-0.0005,0.0052
2009/7/20,0.0119,-0.0143
2009/7/21,0.0031,0.0049
2009/7/22,0.0008,-0.0027
2009/7/23,0.0237,-0.0174
2009/7/24,0.0038,-0.0113
2009/7/27,0.003,-0.012
2009/7/28,-0.002,0.0052
2009/7/29,-0.0046,0.013
2009/7/30,0.0124,-0.0225
2009/7/31,0.0005,-0.012
2009/8/3,0.0163,-0.0208
2009/8/4,0.0032,-0.013
2009/8/5,-0.003,-0.0147
2009/8/6,-0.0062,-0.0054
2009/8/7,0.0144,-0.0113
2009/8/10,-0.0032,-0.007
2009/8/11,-0.0125,0.016
2009/8/12,0.0121,-0.0077
2009/8/13,0.0073,-0.0159
2009/8/14,-0.0097,0.0031
2009/8/17,-0.0246,0.02
2009/8/18,0.0111,-0.0105
2009/8/19,0.0072,0.0017
2009/8/20,0.01,-0.0075
2009/8/21,0.0183,-0.0103
2009/8/24,-0.0009,-0.0035
2009/8/25,0.0027,0.002
2009/8/26,-0.0001,0.0007
2009/8/27,0.0021,-0.0081
2009/8/28,-0.0019,-0.0063
2009/8/31,-0.0086,0.0083
2009/9/1,-0.0215,0.0166
2009/9/2,-0.0028,0.0031
2009/9/3,0.0093,-0.0086
2009/9/4,0.0131,-0.0069
2009/9/8,0.0088,-0.0057
2009/9/9,0.009,-0.0044
2009/9/10,0.0108,-0.0093
2009/9/11,-0.001,-0.0078
2009/9/14,0.0065,-0.0093
2009/9/15,0.0044,-0.0111
2009/9/16,0.0155,-0.0173
2009/9/17,-0.003,0.0021
2009/9/18,0.0023,0.002
2009/9/21,-0.0027,0.007
2009/9/22,0.0066,-0.0122
2009/9/23,-0.01,0.0054
2009/9/24,-0.0107,0.0104
2009/9/25,-0.0064,0.0006
2009/9/28,0.0179,-0.0022
2009/9/29,-0.0012,-0.0005
2009/9/30,-0.004,0.0063
2009/10/1,-0.0263,0.0059
2009/10/2,-0.0049,0.0018
2009/10/5,0.0154,-0.003
2009/10/6,0.0142,0.0039
2009/10/7,0.0028,-0.0014
2009/10/8,0.0082,-0.0017
2009/10/9,0.0059,0.0007
2009/10/12,0.0036,-0.0022
2009/10/13,-0.0022,0.0018
2009/10/14,0.0173,0.0026
2009/10/15,0.0035,0.0005
2009/10/16,-0.0082,-0.0008
2009/10/19,0.0092,0.0039
2009/10/20,-0.0069,0.0005
2009/10/21,-0.009,0.004
2009/10/22,0.0105,-0.0043
2009/10/23,-0.0123,0.0018
2009/10/26,-0.012,0.0019
2009/10/27,-0.0051,-0.0154
2009/10/28,-0.0216,-0.0197
2009/10/29,0.022,0.0126
2009/10/30,-0.028,-0.0023
2009/11/2,0.0054,0.0049
2009/11/3,0.0045,0.0074
2009/11/4,0.0003,0.0011
2009/11/5,0.0207,0.006
2009/11/6,0.0024,-0.0009
2009/11/9,0.0217,0.006
2009/11/10,-0.0005,0.0032
2009/11/11,0.0052,0.0004
2009/11/12,-0.0112,-0.0033
2009/11/13,0.0061,0.0061
2009/11/16,0.0154,0.0036
2009/11/17,0.0014,-0.0018
2009/11/18,-0.0013,-0.004
2009/11/19,-0.0139,-0.0086
2009/11/20,-0.0033,-0.0069
2009/11/23,0.013,-0.0008
2009/11/24,-0.0009,-0.0047
2009/11/25,0.0047,0.004
2009/11/27,-0.0174,-0.0052
2009/11/30,0.0028,-0.0018
2009/12/1,0.0128,0.0055
2009/12/2,0.0018,0.0029
2009/12/3,-0.0086,-0.0027
2009/12/4,0.007,-0.0019
2009/12/7,-0.0015,-0.0025
2009/12/8,-0.0097,0.0001
2009/12/9,0.0032,0.0036
2009/12/10,0.005,0.0028
2009/12/11,0.0043,-0.0053
2009/12/14,0.008,0.0099
2009/12/15,-0.0048,0.0014
2009/12/16,0.0019,0.0075
2009/12/17,-0.0118,-0.0031
2009/12/18,0.0068,-0.0009
2009/12/21,0.0103,0.0041
2009/12/22,0.0043,0.0027
2009/12/23,0.0036,0.0077
2009/12/24,0.0051,0.0024
2009/12/28,0.0008,-0.0018
2009/12/29,-0.0009,-0.0038
2009/12/30,0,-0.0009
2009/12/31,-0.0099,0.0006
2010/1/4,0.0169,0.0067
2010/1/5,0.0031,0.0065
2010/1/6,0.0013,-0.0001
2010/1/7,0.004,-0.0085
2010/1/8,0.0033,0.0025
2010/1/11,0.0013,-0.0049
2010/1/12,-0.01,-0.0122
2010/1/13,0.0085,0.0039
2010/1/14,0.0024,-0.0011
2010/1/15,-0.0112,-0.0054
2010/1/19,0.0126,0.0013
2010/1/20,-0.0098,-0.0055
2010/1/21,-0.0174,-0.0103
2010/1/22,-0.0214,-0.0154
2010/1/25,0.0037,0.0054
2010/1/26,-0.0045,0
2010/1/27,0.0053,-0.0016
2010/1/28,-0.0118,-0.0066
2010/1/29,-0.0097,-0.0123
2010/2/1,0.0139,0.0138
2010/2/2,0.0121,0.0048
2010/2/3,-0.0049,0.0024
2010/2/4,-0.0314,-0.0158
2010/2/5,0.0029,0.0003
2010/2/8,-0.0079,0.0001
2010/2/9,0.0133,0.0088
2010/2/10,-0.0017,0.002
