,US0012M INDEX
1/2/2008,4.1875
1/3/2008,4.04188
1/4/2008,4.0525
1/7/2008,3.9425
1/8/2008,3.92875
1/9/2008,3.86438
1/10/2008,3.8125
1/11/2008,3.715
1/14/2008,3.49625
1/15/2008,3.47375
1/16/2008,3.42375
1/17/2008,3.48
1/18/2008,3.39625
1/21/2008,3.26813
1/22/2008,3.08375
1/23/2008,2.80625
1/24/2008,2.8625
1/25/2008,3.12625
1/28/2008,2.95625
1/29/2008,2.96625
1/30/2008,2.98
1/31/2008,2.84938
2/1/2008,2.81875
2/4/2008,2.89625
2/5/2008,2.89313
2/6/2008,2.73375
2/7/2008,2.73
2/8/2008,2.77625
2/11/2008,2.73375
2/12/2008,2.7325
2/13/2008,2.7275
2/14/2008,2.74875
2/15/2008,2.74438
2/18/2008,2.77125
2/19/2008,2.78063
2/20/2008,2.875
2/21/2008,2.955
2/22/2008,2.82063
2/25/2008,2.90875
2/26/2008,2.925
2/27/2008,2.82875
2/28/2008,2.775
2/29/2008,2.70875
3/3/2008,2.62563
3/4/2008,2.65813
3/5/2008,2.6675
3/6/2008,2.68625
3/7/2008,2.575
3/10/2008,2.58875
3/11/2008,2.57
3/12/2008,2.64688
3/13/2008,2.51688
3/14/2008,2.5125
3/17/2008,2.17813
3/18/2008,2.21
3/19/2008,2.33875
3/20/2008,2.3925
3/25/2008,2.54875
3/26/2008,2.5275
3/27/2008,2.50563
3/28/2008,2.5175
3/31/2008,2.48625
4/1/2008,2.47
4/2/2008,2.56125
4/3/2008,2.65375
4/4/2008,2.66375
4/7/2008,2.59313
4/8/2008,2.60188
4/9/2008,2.61813
4/10/2008,2.57375
4/11/2008,2.63688
4/14/2008,2.57375
4/15/2008,2.63
4/16/2008,2.7375
4/17/2008,2.91125
4/18/2008,3.0675
4/21/2008,3.06
4/22/2008,3.09313
4/23/2008,3.11125
4/24/2008,3.0775
4/25/2008,3.235
4/28/2008,3.17875
4/29/2008,3.1075
4/30/2008,3.07875
5/1/2008,2.98375
5/2/2008,2.99375
5/6/2008,3.015
5/7/2008,2.99813
5/8/2008,2.94375
5/9/2008,2.8725
5/12/2008,2.92188
5/13/2008,2.9625
5/14/2008,3.16813
5/15/2008,3.17625
5/16/2008,3.08125
5/19/2008,3.02625
5/20/2008,2.97625
5/21/2008,2.95125
5/22/2008,2.9975
5/23/2008,3.06688
5/27/2008,3.0675
5/28/2008,3.08625
5/29/2008,3.205
5/30/2008,3.16375
6/2/2008,3.13875
6/3/2008,3.09625
6/4/2008,3.0975
6/5/2008,3.13
6/6/2008,3.21063
6/9/2008,3.1875
6/10/2008,3.54188
6/11/2008,3.52
6/12/2008,3.50313
