Date,TFF1LATL INDEX
6/15/2010,0
6/22/2010,4
6/29/2010,0
7/6/2010,0
7/13/2010,0
7/20/2010,0
7/27/2010,0
8/3/2010,0
8/10/2010,0
8/17/2010,0
8/24/2010,0
8/31/2010,0
9/7/2010,0
9/14/2010,0
9/21/2010,0
9/28/2010,0
10/5/2010,0
10/12/2010,0
10/19/2010,0
10/26/2010,0
11/2/2010,0
11/9/2010,0
11/16/2010,0
11/23/2010,0
11/30/2010,0
12/7/2010,0
12/14/2010,0
12/21/2010,0
12/28/2010,0
1/4/2011,119
1/11/2011,116
1/18/2011,117
1/25/2011,117
2/1/2011,118
2/8/2011,121
2/15/2011,121
2/22/2011,118
3/1/2011,111
3/8/2011,114
3/15/2011,113
3/22/2011,118
3/29/2011,121
4/5/2011,121
4/12/2011,121
4/19/2011,120
4/26/2011,125
5/3/2011,128
5/10/2011,124
5/17/2011,124
5/24/2011,127
5/31/2011,122
6/7/2011,117
6/14/2011,119
6/21/2011,116
6/28/2011,113
7/5/2011,116
7/12/2011,110
7/19/2011,109
7/26/2011,108
8/2/2011,111
8/9/2011,110
8/16/2011,109
8/23/2011,115
8/30/2011,113
9/6/2011,111
9/13/2011,110
9/20/2011,109
9/27/2011,109
10/4/2011,103
10/11/2011,106
10/18/2011,111
10/25/2011,112
11/1/2011,112
11/8/2011,116
11/15/2011,119
11/22/2011,110
11/29/2011,111
12/6/2011,112
12/13/2011,106
12/20/2011,107
12/27/2011,110
1/3/2012,111
1/10/2012,114
1/17/2012,114
1/24/2012,113
1/31/2012,116
2/7/2012,117
2/14/2012,117
2/21/2012,120
2/28/2012,119
3/6/2012,117
3/13/2012,121
3/20/2012,123
3/27/2012,127
4/3/2012,124
4/10/2012,122
4/17/2012,122
4/24/2012,119
5/1/2012,118
5/8/2012,123
5/15/2012,119
5/22/2012,118
5/29/2012,119
6/5/2012,118
6/12/2012,121
6/19/2012,123
6/26/2012,122
7/3/2012,121
7/10/2012,120
7/17/2012,120
7/24/2012,120
7/31/2012,123
8/7/2012,123
8/14/2012,119
8/21/2012,122
8/28/2012,123
9/4/2012,119
9/11/2012,115
9/18/2012,118
9/25/2012,120
10/2/2012,120
10/9/2012,122
10/16/2012,123
10/23/2012,122
10/30/2012,121
11/6/2012,125
11/13/2012,120
11/20/2012,117
11/27/2012,120
12/4/2012,122
12/11/2012,123
12/18/2012,122
12/25/2012,120
1/1/2013,121
1/8/2013,122
1/15/2013,120
1/22/2013,123
1/29/2013,121
2/5/2013,116
2/12/2013,119
2/19/2013,115
2/26/2013,115
3/5/2013,117
3/12/2013,120
3/19/2013,121
3/26/2013,125
4/2/2013,121
4/9/2013,123
4/16/2013,127
4/23/2013,124
4/30/2013,121
5/7/2013,122
5/14/2013,123
5/21/2013,122
5/28/2013,122
6/4/2013,119
6/11/2013,115
6/18/2013,111
6/25/2013,106
7/2/2013,114
7/9/2013,116
7/16/2013,117
7/23/2013,118
7/30/2013,117
8/6/2013,114
8/13/2013,110
8/20/2013,112
8/27/2013,108
9/3/2013,106
9/10/2013,111
9/17/2013,110
9/24/2013,109
10/1/2013,110
10/8/2013,105
10/15/2013,107
10/22/2013,106
10/29/2013,109
11/5/2013,108
11/12/2013,114
11/19/2013,111
