Date,TFF1LAIS INDEX
6/15/2010,154926
6/22/2010,151956
6/29/2010,177832
7/6/2010,182961
7/13/2010,156376
7/20/2010,163886
7/27/2010,160962
8/3/2010,154923
8/10/2010,156174
8/17/2010,169158
8/24/2010,184192
8/31/2010,189618
9/7/2010,180566
9/14/2010,170997
9/21/2010,157099
9/28/2010,152890
10/5/2010,151571
10/12/2010,145093
10/19/2010,142194
10/26/2010,136109
11/2/2010,135406
11/9/2010,128696
11/16/2010,138434
11/23/2010,139744
11/30/2010,141570
12/7/2010,127102
12/14/2010,123035
12/21/2010,121564
12/28/2010,118095
1/4/2011,123586
1/11/2011,126489
1/18/2011,121840
1/25/2011,124854
2/1/2011,129872
2/8/2011,122613
2/15/2011,121034
2/22/2011,120110
3/1/2011,124846
3/8/2011,123342
3/15/2011,131071
3/22/2011,128843
3/29/2011,122102
4/5/2011,120698
4/12/2011,118824
4/19/2011,121345
4/26/2011,118054
5/3/2011,114351
5/10/2011,113535
5/17/2011,120158
5/24/2011,122425
5/31/2011,116769
6/7/2011,123014
6/14/2011,125543
6/21/2011,128875
6/28/2011,124707
7/5/2011,115276
7/12/2011,134851
7/19/2011,132649
7/26/2011,125080
8/2/2011,171306
8/9/2011,196993
8/16/2011,200378
8/23/2011,213749
8/30/2011,210888
9/6/2011,228734
9/13/2011,234039
9/20/2011,213679
9/27/2011,243597
10/4/2011,268429
10/11/2011,238383
10/18/2011,227219
10/25/2011,229228
11/1/2011,208442
11/8/2011,202511
11/15/2011,212700
11/22/2011,226178
11/29/2011,212596
12/6/2011,200244
12/13/2011,215366
12/20/2011,219597
12/27/2011,211754
1/3/2012,211704
1/10/2012,211151
1/17/2012,203560
1/24/2012,191583
1/31/2012,190494
2/7/2012,176647
2/14/2012,172950
2/21/2012,166408
2/28/2012,168554
3/6/2012,172175
3/13/2012,170408
3/20/2012,163418
3/27/2012,159070
4/3/2012,159573
4/10/2012,172751
4/17/2012,170943
4/24/2012,175325
5/1/2012,164589
5/8/2012,171389
5/15/2012,181966
5/22/2012,182562
5/29/2012,182411
6/5/2012,197795
6/12/2012,181679
6/19/2012,177275
6/26/2012,198930
7/3/2012,180317
7/10/2012,187836
7/17/2012,185772
7/24/2012,191751
7/31/2012,167810
8/7/2012,166175
8/14/2012,164417
8/21/2012,163704
8/28/2012,167664
9/4/2012,169020
9/11/2012,163763
9/18/2012,158206
9/25/2012,160161
10/2/2012,164155
10/9/2012,158822
10/16/2012,155354
10/23/2012,161377
10/30/2012,162442
11/6/2012,156609
11/13/2012,167830
11/20/2012,160953
11/27/2012,160036
12/4/2012,154549
12/11/2012,153487
12/18/2012,144476
12/25/2012,140685
1/1/2013,140197
1/8/2013,133694
1/15/2013,131149
1/22/2013,128735
1/29/2013,128694
2/5/2013,133753
2/12/2013,133101
2/19/2013,134602
2/26/2013,139286
3/5/2013,130210
3/12/2013,128493
3/19/2013,130731
3/26/2013,129925
4/2/2013,129715
4/9/2013,138679
4/16/2013,129986
4/23/2013,131563
4/30/2013,129645
5/7/2013,128628
5/14/2013,124194
5/21/2013,126564
5/28/2013,128818
6/4/2013,135043
6/11/2013,138449
6/18/2013,134604
6/25/2013,153015
7/2/2013,143924
7/9/2013,138605
7/16/2013,134768
7/23/2013,129252
7/30/2013,129018
8/6/2013,128702
8/13/2013,129284
8/20/2013,135473
8/27/2013,136921
9/3/2013,130217
9/10/2013,120275
9/17/2013,120845
9/24/2013,119024
10/1/2013,113961
10/8/2013,121141
10/15/2013,118777
10/22/2013,116067
10/29/2013,112406
