,EURUSD CURNCY
1/1/2008,1.4592
1/2/2008,1.4715
1/3/2008,1.475
1/4/2008,1.4743
1/7/2008,1.4696
1/8/2008,1.4707
1/9/2008,1.4659
1/10/2008,1.4804
1/11/2008,1.4776
1/14/2008,1.4869
1/15/2008,1.4804
1/16/2008,1.4652
1/17/2008,1.4642
1/18/2008,1.4621
1/21/2008,1.4454
1/22/2008,1.4629
1/23/2008,1.4629
1/24/2008,1.4755
1/25/2008,1.4681
1/28/2008,1.4781
1/29/2008,1.4776
1/30/2008,1.4862
1/31/2008,1.4861
2/1/2008,1.4802
2/4/2008,1.483
2/5/2008,1.4647
2/6/2008,1.4632
2/7/2008,1.4485
2/8/2008,1.4504
2/11/2008,1.4519
2/12/2008,1.4584
2/13/2008,1.4573
2/14/2008,1.4643
2/15/2008,1.4682
2/18/2008,1.4658
2/19/2008,1.4726
2/20/2008,1.4715
2/21/2008,1.4814
2/22/2008,1.4827
2/25/2008,1.483
2/26/2008,1.4974
2/27/2008,1.512
2/28/2008,1.5193
2/29/2008,1.5179
3/3/2008,1.5204
3/4/2008,1.5217
3/5/2008,1.5265
3/6/2008,1.538
3/7/2008,1.5355
3/10/2008,1.5344
3/11/2008,1.5338
3/12/2008,1.5551
3/13/2008,1.5635
3/14/2008,1.5674
3/17/2008,1.573
3/18/2008,1.5625
3/19/2008,1.5626
3/20/2008,1.5428
3/21/2008,1.5432
3/24/2008,1.5423
3/25/2008,1.565
3/26/2008,1.5845
3/27/2008,1.5779
3/28/2008,1.5796
3/31/2008,1.5788
4/1/2008,1.5614
4/2/2008,1.5686
4/3/2008,1.5684
4/4/2008,1.5737
4/7/2008,1.5711
4/8/2008,1.5712
4/9/2008,1.5831
4/10/2008,1.5742
4/11/2008,1.5808
4/14/2008,1.5832
4/15/2008,1.579
4/16/2008,1.5948
4/17/2008,1.5908
4/18/2008,1.5818
4/21/2008,1.5912
4/22/2008,1.5991
4/23/2008,1.5889
4/24/2008,1.5682
4/25/2008,1.563
4/28/2008,1.5657
4/29/2008,1.5572
4/30/2008,1.5622
5/1/2008,1.5474
5/2/2008,1.5424
5/5/2008,1.5496
5/6/2008,1.5533
5/7/2008,1.5392
5/8/2008,1.5393
5/9/2008,1.5482
5/12/2008,1.5553
5/13/2008,1.5474
5/14/2008,1.5474
5/15/2008,1.5448
5/16/2008,1.5577
5/19/2008,1.551
5/20/2008,1.5646
5/21/2008,1.5795
5/22/2008,1.5733
5/23/2008,1.5762
5/26/2008,1.577
5/27/2008,1.5691
5/28/2008,1.5638
5/29/2008,1.5519
5/30/2008,1.5554
6/2/2008,1.5537
6/3/2008,1.5445
6/4/2008,1.544
6/5/2008,1.5593
6/6/2008,1.5778
6/9/2008,1.5646
6/10/2008,1.5467
6/11/2008,1.5552
6/12/2008,1.5439
6/13/2008,1.538
6/16/2008,1.5477
6/17/2008,1.5511
6/18/2008,1.5535
6/19/2008,1.5505
6/20/2008,1.5607
6/23/2008,1.5518
6/24/2008,1.5568
6/25/2008,1.5667
6/26/2008,1.5757
6/27/2008,1.5794
6/30/2008,1.5755
7/1/2008,1.5793
7/2/2008,1.5882
7/3/2008,1.5703
7/4/2008,1.5706
7/7/2008,1.5726
7/8/2008,1.567
7/9/2008,1.5743
7/10/2008,1.5788
7/11/2008,1.5938
7/14/2008,1.5908
7/15/2008,1.5911
7/16/2008,1.5827
7/17/2008,1.5863
7/18/2008,1.5847
7/21/2008,1.5922
7/22/2008,1.5784
7/23/2008,1.5698
7/24/2008,1.5677
7/25/2008,1.5709
7/28/2008,1.5741
7/29/2008,1.5588
7/30/2008,1.5576
7/31/2008,1.5603
8/1/2008,1.5564
8/4/2008,1.5576
8/5/2008,1.5454
8/6/2008,1.5408
8/7/2008,1.5325
8/8/2008,1.5005
8/11/2008,1.4909
8/12/2008,1.4926
8/13/2008,1.4919
8/14/2008,1.4826
8/15/2008,1.4687
8/18/2008,1.4694
8/19/2008,1.4776
8/20/2008,1.4747
8/21/2008,1.4899
8/22/2008,1.4793
8/25/2008,1.4754
8/26/2008,1.4653
8/27/2008,1.4727
8/28/2008,1.4706
8/29/2008,1.4673
9/1/2008,1.4617
9/2/2008,1.452
9/3/2008,1.4498
9/4/2008,1.4325
9/5/2008,1.4267
9/8/2008,1.4128
9/9/2008,1.4133
9/10/2008,1.3998
9/11/2008,1.3998
9/12/2008,1.4224
9/15/2008,1.4243
9/16/2008,1.4129
9/17/2008,1.4326
9/18/2008,1.4348
9/19/2008,1.4466
9/22/2008,1.4774
9/23/2008,1.4648
9/24/2008,1.4621
9/25/2008,1.4609
