Date,JNK_Price,JNK_Volume
2009/1/2,41.489399,258600
2009/1/5,42.933533,797100
2009/1/6,43.805199,341400
2009/1/7,42.504185,254100
2009/1/8,41.957767,289800
2009/1/9,42.595249,150300
2009/1/12,42.491165,418500
2009/1/13,42.777393,265200
2009/1/14,40.721798,299700
2009/1/15,40.838898,153300
2009/1/16,42.009823,330000
2009/1/20,40.201408,282000
2009/1/21,40.78685,476100
2009/1/22,41.138126,276600
2009/1/23,40.825874,348900
2009/1/26,41.398327,249600
2009/1/27,41.346283,315600
2009/1/28,42.42614,505800
2009/1/29,41.632484,183000
2009/1/30,41.476376,169200
2009/2/2,40.68169,159300
2009/2/3,41.050106,163800
2009/2/4,40.865891,123000
2009/2/5,40.694847,150900
2009/2/6,41.418484,204000
2009/2/9,41.326397,162300
2009/2/10,40.971138,217500
2009/2/11,41.102715,125400
2009/2/12,40.905376,136500
2009/2/13,40.971138,143100
2009/2/17,39.602833,433500
2009/2/18,38.866001,417600
2009/2/19,39.10284,178500
2009/2/20,39.31337,227700
2009/2/23,37.53714,219600
2009/2/24,39.076527,280500
2009/2/25,38.023979,313500
2009/2/26,37.524002,159300
2009/2/27,37.247715,244800
2009/3/2,36.322609,267900
2009/3/3,36.322609,260100
2009/3/4,36.015598,213600
2009/3/5,35.081161,343800
2009/3/6,35.094509,169800
2009/3/9,34.507156,183000
2009/3/10,35.775314,420600
2009/3/11,36.482807,222300
2009/3/12,37.230331,270300
2009/3/13,37.550724,240000
2009/3/16,37.857758,269400
2009/3/17,38.138073,267600
2009/3/18,38.511841,364800
2009/3/19,38.391708,171600
2009/3/20,39.045799,202800
2009/3/23,39.593132,307200
2009/3/24,39.112556,168600
2009/3/25,39.379539,195900
2009/3/26,39.539722,415200
2009/3/27,39.686573,177300
2009/3/30,38.605278,244500
2009/3/31,39.299419,209100
2009/4/1,39.139469,174900
2009/4/2,40.210499,351600
2009/4/3,40.874756,599700
2009/4/6,40.630753,220800
2009/4/7,40.535873,310200
2009/4/8,40.535873,186900
2009/4/9,41.240822,554400
2009/4/13,41.674648,207000
2009/4/14,41.349274,241200
2009/4/15,42.366085,246600
2009/4/16,43.504852,374100
2009/4/17,44.386066,290400
2009/4/20,42.311852,466800
2009/4/21,43.193054,298200
2009/4/22,43.179482,319800
2009/4/23,43.125248,205500
2009/4/24,43.491295,153000
2009/4/27,43.287971,213000
2009/4/28,43.437065,171000
2009/4/29,44.020046,287100
2009/4/30,44.887695,323100
2009/5/1,45.302288,277500
2009/5/4,45.164978,345600
2009/5/5,45.714115,356400
2009/5/6,45.988663,433500
2009/5/7,45.247383,545700
2009/5/8,45.878819,763500
2009/5/11,46.963387,814800
2009/5/12,46.826077,335400
2009/5/13,45.865154,370800
2009/5/14,46.125961,218400
2009/5/15,45.233639,345300
2009/5/18,46.043594,315600
2009/5/19,46.812325,475200
2009/5/20,47.196735,497700
2009/5/21,46.551525,284700
2009/5/22,47.567398,251400
2009/5/26,47.237915,275700
2009/5/27,47.237915,362400
2009/5/28,47.855679,293700
2009/5/29,48.047859,315300
2009/6/1,49.089653,566100
2009/6/2,48.714642,310800
2009/6/3,48.339573,247500
2009/6/4,48.506252,291900
2009/6/5,48.811863,268800
2009/6/8,48.89518,280200
2009/6/9,49.145248,315900
2009/6/10,49.311932,336000
2009/6/11,49.339703,359100
2009/6/12,49.464699,206700
2009/6/15,48.395126,332700
2009/6/16,48.478477,395100
2009/6/17,47.922844,461400
2009/6/18,48.464581,396600
2009/6/19,48.659039,279600
2009/6/22,48.03397,389400
2009/6/23,47.867336,333600
2009/6/24,48.200657,249600
2009/6/25,48.089531,266400
2009/6/26,48.395126,199800
2009/6/29,48.784081,311100
2009/6/30,48.88131,319200
2009/7/1,48.36285,378300
2009/7/2,47.730572,239100
2009/7/6,47.294964,412200
2009/7/7,47.224724,193500
2009/7/8,47.210663,425400
2009/7/9,47.77272,252000
2009/7/10,47.266911,249600
2009/7/13,47.477619,332400
2009/7/14,47.632198,249300
2009/7/15,48.475224,357900
2009/7/16,48.798412,290700
2009/7/17,49.023224,370500
2009/7/20,49.72575,470100
2009/7/21,49.72575,500400
2009/7/22,49.866264,423300
2009/7/23,50.161335,435000
2009/7/24,50.540699,379500
