Date,TFF1LLFL INDEX
6/15/2010,87605
6/22/2010,70878
6/29/2010,77655
7/6/2010,75033
7/13/2010,72289
7/20/2010,71078
7/27/2010,74295
8/3/2010,73031
8/10/2010,74317
8/17/2010,80856
8/24/2010,78017
8/31/2010,78547
9/7/2010,73458
9/14/2010,83782
9/21/2010,75028
9/28/2010,87158
10/5/2010,89560
10/12/2010,88866
10/19/2010,87661
10/26/2010,98169
11/2/2010,104264
11/9/2010,102041
11/16/2010,100480
11/23/2010,103282
11/30/2010,100714
12/7/2010,102794
12/14/2010,107800
12/21/2010,79919
12/28/2010,79279
1/4/2011,78596
1/11/2011,90395
1/18/2011,84348
1/25/2011,89207
2/1/2011,87351
2/8/2011,85680
2/15/2011,82287
2/22/2011,85373
3/1/2011,82842
3/8/2011,86436
3/15/2011,89313
3/22/2011,60224
3/29/2011,70757
4/5/2011,77844
4/12/2011,72572
4/19/2011,70776
4/26/2011,78081
5/3/2011,94647
5/10/2011,82038
5/17/2011,77794
5/24/2011,80774
5/31/2011,87112
6/7/2011,83317
6/14/2011,85520
6/21/2011,68814
6/28/2011,70634
7/5/2011,76677
7/12/2011,88998
7/19/2011,80779
7/26/2011,79675
8/2/2011,86773
8/9/2011,108337
8/16/2011,100566
8/23/2011,91509
8/30/2011,93187
9/6/2011,100804
9/13/2011,121024
9/20/2011,67888
9/27/2011,80056
10/4/2011,83496
10/11/2011,76210
10/18/2011,74350
10/25/2011,77493
11/1/2011,81098
11/8/2011,76836
11/15/2011,80136
11/22/2011,75673
11/29/2011,74200
12/6/2011,90972
12/13/2011,99693
12/20/2011,80101
12/27/2011,77711
1/3/2012,84966
1/10/2012,85247
1/17/2012,86564
1/24/2012,87093
1/31/2012,94168
2/7/2012,86819
2/14/2012,89195
2/21/2012,90622
2/28/2012,95476
3/6/2012,91677
3/13/2012,103392
3/20/2012,84966
3/27/2012,83607
4/3/2012,92376
4/10/2012,84439
4/17/2012,92328
4/24/2012,83360
5/1/2012,102161
5/8/2012,85931
5/15/2012,92848
5/22/2012,78011
5/29/2012,81316
6/5/2012,84497
6/12/2012,80804
6/19/2012,65277
6/26/2012,74950
7/3/2012,76684
7/10/2012,71292
7/17/2012,68919
7/24/2012,59558
7/31/2012,78580
8/7/2012,84556
8/14/2012,84025
8/21/2012,83996
8/28/2012,91495
9/4/2012,86395
9/11/2012,97927
9/18/2012,106346
9/25/2012,95781
10/2/2012,103191
10/9/2012,102058
10/16/2012,108623
10/23/2012,104514
10/30/2012,105925
11/6/2012,110045
11/13/2012,121486
11/20/2012,110296
11/27/2012,111642
12/4/2012,113338
12/11/2012,126504
12/18/2012,129047
12/25/2012,87340
1/1/2013,93171
1/8/2013,82851
1/15/2013,85914
1/22/2013,85490
1/29/2013,90249
2/5/2013,88332
2/12/2013,85280
2/19/2013,101427
2/26/2013,99243
3/5/2013,120526
3/12/2013,126084
3/19/2013,106324
3/26/2013,108150
4/2/2013,108734
4/9/2013,118070
4/16/2013,116275
4/23/2013,111083
4/30/2013,125606
5/7/2013,129585
5/14/2013,129442
5/21/2013,117016
5/28/2013,113073
6/4/2013,106729
6/11/2013,102528
6/18/2013,109315
6/25/2013,100211
7/2/2013,98887
7/9/2013,96293
7/16/2013,99339
7/23/2013,102405
7/30/2013,106551
8/6/2013,95236
8/13/2013,95409
8/20/2013,92840
8/27/2013,88339
9/3/2013,91986
9/10/2013,92372
9/17/2013,103239
9/24/2013,94248
10/1/2013,93291
10/8/2013,99685
10/15/2013,105935
10/22/2013,107411
10/29/2013,108644
11/5/2013,109208
11/12/2013,113224
11/19/2013,109430
11/26/2013,110332
12/3/2013,112648
12/10/2013,112101
12/17/2013,113473
