Date,TFF1LLTL INDEX
6/15/2010,0
6/22/2010,4
6/29/2010,5
7/6/2010,5
7/13/2010,5
7/20/2010,6
7/27/2010,6
8/3/2010,6
8/10/2010,8
8/17/2010,6
8/24/2010,5
8/31/2010,5
9/7/2010,5
9/14/2010,4
9/21/2010,5
9/28/2010,5
10/5/2010,5
10/12/2010,5
10/19/2010,6
10/26/2010,6
11/2/2010,5
11/9/2010,5
11/16/2010,5
11/23/2010,0
11/30/2010,0
12/7/2010,0
12/14/2010,0
12/21/2010,0
12/28/2010,0
1/4/2011,83
1/11/2011,99
1/18/2011,96
1/25/2011,85
2/1/2011,95
2/8/2011,94
2/15/2011,95
2/22/2011,99
3/1/2011,98
3/8/2011,95
3/15/2011,95
3/22/2011,77
3/29/2011,77
4/5/2011,85
4/12/2011,80
4/19/2011,78
4/26/2011,86
5/3/2011,96
5/10/2011,88
5/17/2011,93
5/24/2011,91
5/31/2011,91
6/7/2011,99
6/14/2011,97
6/21/2011,74
6/28/2011,83
7/5/2011,83
7/12/2011,81
7/19/2011,93
7/26/2011,95
8/2/2011,100
8/9/2011,106
8/16/2011,81
8/23/2011,86
8/30/2011,76
9/6/2011,80
9/13/2011,75
9/20/2011,70
9/27/2011,74
10/4/2011,75
10/11/2011,68
10/18/2011,75
10/25/2011,74
11/1/2011,79
11/8/2011,79
11/15/2011,86
11/22/2011,82
11/29/2011,75
12/6/2011,87
12/13/2011,89
12/20/2011,85
12/27/2011,80
1/3/2012,86
1/10/2012,86
1/17/2012,77
1/24/2012,83
1/31/2012,86
2/7/2012,84
2/14/2012,83
2/21/2012,88
2/28/2012,98
3/6/2012,93
3/13/2012,102
3/20/2012,92
3/27/2012,92
4/3/2012,97
4/10/2012,91
4/17/2012,93
4/24/2012,83
5/1/2012,101
5/8/2012,84
5/15/2012,87
5/22/2012,70
5/29/2012,72
6/5/2012,79
6/12/2012,76
6/19/2012,75
6/26/2012,79
7/3/2012,87
7/10/2012,82
7/17/2012,85
7/24/2012,74
7/31/2012,90
8/7/2012,95
8/14/2012,92
8/21/2012,87
8/28/2012,94
9/4/2012,98
9/11/2012,93
9/18/2012,109
9/25/2012,102
10/2/2012,98
10/9/2012,105
10/16/2012,120
10/23/2012,110
10/30/2012,110
11/6/2012,109
11/13/2012,102
11/20/2012,96
11/27/2012,99
12/4/2012,107
12/11/2012,109
12/18/2012,119
12/25/2012,90
1/1/2013,98
1/8/2013,92
1/15/2013,98
1/22/2013,90
1/29/2013,95
2/5/2013,96
2/12/2013,95
2/19/2013,100
2/26/2013,102
3/5/2013,105
3/12/2013,100
3/19/2013,89
3/26/2013,99
4/2/2013,100
4/9/2013,102
4/16/2013,103
4/23/2013,97
4/30/2013,107
5/7/2013,105
5/14/2013,105
5/21/2013,97
5/28/2013,97
6/4/2013,97
6/11/2013,84
6/18/2013,94
6/25/2013,88
7/2/2013,89
7/9/2013,86
7/16/2013,93
7/23/2013,94
7/30/2013,93
8/6/2013,97
8/13/2013,93
8/20/2013,86
8/27/2013,84
9/3/2013,85
9/10/2013,79
9/17/2013,93
9/24/2013,93
10/1/2013,104
10/8/2013,109
10/15/2013,110
10/22/2013,98
10/29/2013,96
11/5/2013,98
11/12/2013,102
11/19/2013,98
