Date,SPY Flows,IVV
1/2/2009,950.057,-46.6733
1/5/2009,-672.142,-27.8744
1/6/2009,369.06,93.6379
1/7/2009,-1228.79,-13.6325
1/8/2009,-1128.36,0
1/9/2009,1099.9,0
1/12/2009,805.244,0
1/13/2009,-2564.03,0
1/14/2009,-2170.91,16.9004
1/15/2009,1013.06,0
1/16/2009,-1790.49,217.404
1/20/2009,-2489.73,-12.1156
1/21/2009,-348.979,16.8585
1/22/2009,915.159,0
1/23/2009,-512.071,0
1/26/2009,1620.09,0
1/27/2009,334.322,16.967
1/28/2009,1985.89,-8.7691
1/29/2009,-169.196,16.9583
1/30/2009,-116.553,0
2/2/2009,-1739.36,-8.281
2/3/2009,-570.768,-25.2391
2/4/2009,-875.418,0
2/5/2009,-953.315,-16.9866
2/6/2009,-979.27,-13.0883
2/9/2009,-178.714,-26.2134
2/10/2009,-3216.99,-16.6212
2/11/2009,-673.018,29.3292
2/12/2009,-3367.51,0
2/13/2009,-252.976,-12.4695
2/17/2009,-2775.78,0
2/18/2009,455.027,150.692
2/19/2009,-172.129,-7.8418
2/20/2009,1489.33,-73.6612
2/23/2009,-620.012,-7.4854
2/24/2009,217.5,7.7843
2/25/2009,-103.778,-7.7036
2/26/2009,601.701,-75.8491
2/27/2009,0,0
3/2/2009,31.7188,-7.0631
3/3/2009,507.838,14.035
3/4/2009,-928.847,0
3/5/2009,-2325.5,79.1482
3/6/2009,330.239,241.229
3/9/2009,439.445,-10.2368
3/10/2009,47.0823,0
3/11/2009,119.839,3.6391
3/12/2009,-1250.86,-22.724
3/13/2009,-34.2743,19.0831
3/16/2009,-303.594,102.689
3/17/2009,-563.905,78.5051
3/18/2009,6867.27,40.0704
3/19/2009,-6328.9,75.1481
3/20/2009,-5222.74,0
3/23/2009,2952.89,-8.304
3/24/2009,-1063.87,0
3/25/2009,-366.171,0
3/26/2009,649.484,0
3/27/2009,-1831.72,12.2689
3/30/2009,208.707,0
3/31/2009,1312.56,79.9962
4/1/2009,-957.278,0
4/2/2009,-1222.66,66.9352
4/3/2009,379.215,0
4/6/2009,543.224,150.811
4/7/2009,-212.246,8.1849
4/8/2009,-338.646,4.1407
4/9/2009,128.601,-25.7866
4/13/2009,-1435.49,0
4/14/2009,-1191.97,0
4/15/2009,-571.47,29.9306
4/16/2009,-3087.97,0
4/17/2009,-330.784,13.0904
4/20/2009,1583.31,0
4/21/2009,-93.6068,-8.5327
4/22/2009,1317.63,-50.8106
4/23/2009,959.636,0
4/24/2009,238.507,39.1305
4/27/2009,-1034.6,0
4/28/2009,64.2207,-8.5858
4/29/2009,65.6135,0
4/30/2009,-626.778,17.5286
5/1/2009,1309.39,0
5/4/2009,-903.931,0
5/5/2009,-362.06,-54.4558
5/6/2009,-879.732,101.606
5/7/2009,640.926,150.406
5/8/2009,218.772,0
5/11/2009,-455.646,0
5/12/2009,1015.14,22.8223
5/13/2009,119.669,0
5/14/2009,1442.01,-8.9812
5/15/2009,-823.629,0
5/18/2009,2057.73,0
5/19/2009,-901.983,22.8397
5/20/2009,-199.433,0
5/21/2009,-931.768,-8.9397
5/22/2009,-431.804,49.1008
5/26/2009,685.23,87.0339
5/27/2009,-1017.58,13.4844
5/28/2009,-291.348,0
5/29/2009,-1121.14,74.0264
6/1/2009,695.679,0
6/2/2009,-308.235,204.487
6/3/2009,280.689,-84.4422
6/4/2009,686.212,199.329
6/5/2009,-580.665,203.574
6/8/2009,306.611,0
6/9/2009,672.196,156.661
6/10/2009,599.133,-127.737
6/11/2009,-123.433,47.6113
6/12/2009,-209.185,0
6/15/2009,64.9862,41.8934
6/16/2009,-320.814,36.7661
6/17/2009,-695.677,110.164
6/18/2009,-609.284,-9.2591
6/19/2009,271.643,69.6544
6/22/2009,883.984,36.0206
6/23/2009,-80.5505,-354.634
6/24/2009,220.707,63.2573
6/25/2009,-13.8045,27.6911
6/26/2009,-408.945,23.0467
6/29/2009,83.4568,9.3029
6/30/2009,-1940.16,13.8353
7/1/2009,831.253,-315.012
7/2/2009,-941.565,-89.9569
7/6/2009,-220.267,9.018
7/7/2009,207.118,92.8383
7/8/2009,-1206.16,0
7/9/2009,265.062,-257.044
7/10/2009,351.991,0
7/13/2009,-302.168,4.5246
7/14/2009,1541.5,-336.575
7/15/2009,-1633.85,-309.073
7/16/2009,-2533.22,9.4462
7/17/2009,555.389,0
7/20/2009,1056.82,-4.7759
7/21/2009,372.661,-268.404
7/22/2009,1681.19,52.703
7/23/2009,2995.82,14.709
7/24/2009,-622.55,186.868
7/27/2009,-1165.22,152.898
7/28/2009,-524.7,54.1136
7/29/2009,488.202,-470.172
7/30/2009,1837.9,0
7/31/2009,-17.5087,9.9207
8/3/2009,758.003,95.6832
8/4/2009,-1329.27,0
8/5/2009,-416.837,5.0386
8/6/2009,-1403.52,40.085
8/7/2009,1093.33,-10.1566
8/10/2009,1094.75,5.0615
8/11/2009,692.616,0
8/12/2009,15.122,288.304
8/13/2009,-604.139,-10.1867
8/14/2009,402.692,60.5972
8/17/2009,289.858,59.1409
8/18/2009,-1588.31,99.5846
8/19/2009,-29.987,0
8/20/2009,510.335,304.141
8/21/2009,1137.6,0
8/24/2009,195.496,5.1617
8/25/2009,1015.91,31.0415
8/26/2009,-397.17,0
8/27/2009,367.272,0
8/28/2009,-1099.78,5.1803
8/31/2009,-1198.54,0
9/1/2009,30.0548,0
9/2/2009,-2247.37,0
9/3/2009,-1576.56,-30.3184
9/4/2009,867.506,0
9/8/2009,-211.102,-5.1658
9/9/2009,-326.893,0
9/10/2009,36.6963,0
9/11/2009,-1125.89,0
9/14/2009,-1396.5,497.012
9/15/2009,-42.2866,0
9/16/2009,4073.59,0
9/17/2009,-1642.89,0
9/18/2009,170.88,0
9/21/2009,989.887,-745.809
9/22/2009,-964.276,43.208
9/23/2009,-153.793,63.846
9/24/2009,-1502.54,0
9/25/2009,1702.24,10.4781
9/28/2009,0,149.316
9/29/2009,599.321,0
9/30/2009,925.157,53.0383
10/1/2009,-2570.09,-67.1771
10/2/2009,692.213,36.0105
10/5/2009,-749.348,-10.4409
10/6/2009,-89.6819,-21.1695
10/7/2009,-269.903,-37.1676
10/8/2009,-2516.56,0
10/9/2009,-343.159,26.8968
10/12/2009,958.59,0
10/13/2009,161.12,145.482
10/14/2009,169.414,10.9645
10/15/2009,976.801,-44.043
10/16/2009,2209.98,-16.3838
10/19/2009,1263.7,77.1717
10/20/2009,-131.047,-219.118
10/21/2009,-221.92,5.429
10/22/2009,-1176.18,-10.9757
10/23/2009,-237.779,-97.5897
